@relation 'GPCRprints-weka.filters.unsupervised.attribute.Discretize-F-B20-M-1.0-Rfirst-last'
@attribute pr00237 {1,0}
@attribute pr00243 {1,0}
@attribute pr00538 {1,0}
@attribute pr00539 {0,1}
@attribute pr00540 {0,1}
@attribute pr00541 {0,1}
@attribute pr00542 {0,1}
@attribute pr00557 {0,1}
@attribute pr00556 {0,1}
@attribute pr00240 {0,1}
@attribute pr00558 {0,1}
@attribute pr00559 {0,1}
@attribute pr00560 {0,1}
@attribute pr00561 {0,1}
@attribute pr00562 {0,1}
@attribute pr00563 {0,1}
@attribute pr00242 {0,1}
@attribute pr00565 {0,1}
@attribute pr00566 {0,1}
@attribute pr00567 {0,1}
@attribute pr00568 {0,1}
@attribute pr00569 {0,1}
@attribute pr00960 {0,1}
@attribute pr01012 {0,1}
@attribute pr00530 {0,1}
@attribute pr00531 {0,1}
@attribute pr01471 {0,1}
@attribute pr01726 {0,1}
@attribute pr00512 {0,1}
@attribute pr00513 {0,1}
@attribute pr00514 {0,1}
@attribute pr00515 {0,1}
@attribute pr01101 {0,1}
@attribute pr00516 {0,1}
@attribute pr00651 {0,1}
@attribute pr00517 {0,1}
@attribute pr01059 {0,1}
@attribute pr00518 {0,1}
@attribute pr00519 {0,1}
@attribute pr00652 {0,1}
@attribute pr00534 {0,1}
@attribute pr00664 {0,1}
@attribute pr01830 {0,1}
@attribute pr01831 {0,1}
@attribute pr00241 {0,1}
@attribute pr00635 {0,1}
@attribute pr00636 {0,1}
@attribute pr00637 {0,1}
@attribute pr00358 {0,1}
@attribute pr00638 {0,1}
@attribute pr00640 {0,1}
@attribute pr00639 {0,1}
@attribute pr00425 {0,1}
@attribute pr00993 {0,1}
@attribute pr00994 {0,1}
@attribute pr01104 {0,1}
@attribute pr01060 {0,1}
@attribute pr00426 {0,1}
@attribute pr00526 {0,1}
@attribute pr01416 {0,1}
@attribute pr00427 {0,1}
@attribute pr00572 {0,1}
@attribute pr00573 {0,1}
@attribute pr01157 {0,1}
@attribute pr00657 {0,1}
@attribute pr01106 {0,1}
@attribute pr01107 {0,1}
@attribute pr01108 {0,1}
@attribute pr01109 {0,1}
@attribute pr01110 {0,1}
@attribute pr01529 {0,1}
@attribute pr00641 {0,1}
@attribute pr01530 {0,1}
@attribute pr00645 {0,1}
@attribute pr01531 {0,1}
@attribute pr01558 {0,1}
@attribute pr01557 {0,1}
@attribute pr01532 {0,1}
@attribute pr00564 {0,1}
@attribute pr01105 {0,1}
@attribute pr01562 {0,1}
@attribute pr01568 {0,1}
@attribute pr01822 {0,1}
@attribute pr00524 {0,1}
@attribute pr00527 {0,1}
@attribute pr00366 {0,1}
@attribute pr00570 {0,1}
@attribute pr00571 {0,1}
@attribute pr00536 {0,1}
@attribute pr01163 {0,1}
@attribute pr01161 {0,1}
@attribute pr00520 {0,1}
@attribute pr00535 {0,1}
@attribute pr01061 {0,1}
@attribute pr01062 {0,1}
@attribute pr01063 {0,1}
@attribute pr01559 {0,1}
@attribute pr01013 {0,1}
@attribute pr01014 {0,1}
@attribute pr01015 {0,1}
@attribute pr01016 {0,1}
@attribute pr01017 {0,1}
@attribute pr01479 {0,1}
@attribute pr01480 {0,1}
@attribute pr01481 {0,1}
@attribute pr00384 {0,1}
@attribute pr00525 {0,1}
@attribute pr00532 {0,1}
@attribute pr00537 {0,1}
@attribute pr00547 {0,1}
@attribute pr00246 {0,1}
@attribute pr00587 {0,1}
@attribute pr00588 {0,1}
@attribute pr00589 {0,1}
@attribute pr00590 {0,1}
@attribute pr00591 {0,1}
@attribute pr01024 {0,1}
@attribute pr00244 {0,1}
@attribute pr01025 {0,1}
@attribute pr01026 {0,1}
@attribute pr01419 {0,1}
@attribute pr00663 {0,1}
@attribute pr01728 {0,1}
@attribute pr01428 {0,1}
@attribute pr00908 {0,1}
@attribute pr01152 {0,1}
@attribute pr01430 {0,1}
@attribute pr01429 {0,1}
@attribute pr01521 {0,1}
@attribute pr01522 {0,1}
@attribute pr01064 {0,1}
@attribute pr01570 {0,1}
@attribute pr01571 {0,1}
@attribute pr01572 {0,1}
@attribute pr00647 {0,1}
@attribute pr00643 {0,1}
@attribute pr01421 {0,1}
@attribute pr01565 {0,1}
@attribute pr01566 {0,1}
@attribute pr01567 {0,1}
@attribute pr01507 {0,1}
@attribute pr01783 {0,1}
@attribute pr01784 {0,1}
@attribute pr01143 {0,1}
@attribute pr00373 {0,1}
@attribute pr01145 {0,1}
@attribute pr01144 {0,1}
@attribute pr00238 {0,1}
@attribute pr00579 {0,1}
@attribute pr00575 {0,1}
@attribute pr00574 {0,1}
@attribute pr00578 {0,1}
@attribute pr00576 {0,1}
@attribute pr00577 {0,1}
@attribute pr01244 {0,1}
@attribute pr00666 {0,1}
@attribute pr00667 {0,1}
@attribute pr00245 {0,1}
@attribute pr01590 {0,1}
@attribute pr01415 {0,1}
@attribute pr00428 {0,1}
@attribute pr01788 {0,1}
@attribute pr00580 {0,1}
@attribute pr00854 {0,1}
@attribute pr00429 {0,1}
@attribute pr00581 {0,1}
@attribute pr00856 {0,1}
@attribute pr00584 {0,1}
@attribute pr00582 {0,1}
@attribute pr00583 {0,1}
@attribute pr00585 {0,1}
@attribute pr00586 {0,1}
@attribute pr00855 {0,1}
@attribute pr00552 {0,1}
@attribute pr00424 {0,1}
@attribute pr00553 {0,1}
@attribute pr00554 {0,1}
@attribute pr00555 {0,1}
@attribute pr01066 {0,1}
@attribute pr01068 {0,1}
@attribute pr00595 {0,1}
@attribute pr01067 {0,1}
@attribute pr01735 {0,1}
@attribute pr01655 {0,1}
@attribute pr01569 {0,1}
@attribute pr00522 {0,1}
@attribute pr00362 {0,1}
@attribute pr00523 {0,1}
@attribute pr01153 {0,1}
@attribute pr00529 {0,1}
@attribute pr01654 {0,1}
@attribute pr01846 {0,1}
@attribute pr00751 {0,1}
@attribute pr01417 {0,1}
@attribute pr01150 {0,1}
@attribute pr00857 {0,1}
@attribute pr01149 {0,1}
@attribute pr00642 {0,1}
@attribute pr01523 {0,1}
@attribute pr01527 {0,1}
@attribute pr01148 {0,1}
@attribute pr01524 {0,1}
@attribute pr01528 {0,1}
@attribute pr01525 {0,1}
@attribute pr01526 {0,1}
@attribute pr01560 {0,1}
@attribute pr01561 {0,1}
@attribute pr01477 {0,1}
@attribute pr01476 {0,1}
@attribute pr01478 {0,1}
@attribute pr00533 {0,1}
@attribute pr00646 {0,1}
@attribute pr00019 {0,1}
@attribute pr01739 {0,1}
@attribute pr01855 {0,1}
@attribute pr01564 {0,1}
@attribute pr01018 {0,1}
@attribute pr01146 {0,1}
@attribute pr01147 {0,1}
@attribute pr00649 {0,1}
@attribute pr00644 {0,1}
@attribute pr00648 {0,1}
@attribute pr01533 {0,1}
@attribute pr00361 {0,1}
@attribute pr00249 {0,1}
@attribute pr01351 {0,1}
@attribute pr01350 {0,1}
@attribute pr01279 {0,1}
@attribute pr01281 {0,1}
@attribute pr01280 {0,1}
@attribute pr01129 {0,1}
@attribute pr01354 {0,1}
@attribute pr01353 {0,1}
@attribute pr01355 {0,1}
@attribute pr01352 {0,1}
@attribute pr01154 {0,1}
@attribute pr00393 {0,1}
@attribute pr01156 {0,1}
@attribute pr00490 {0,1}
@attribute pr00491 {0,1}
@attribute pr01155 {0,1}
@attribute pr01127 {0,1}
@attribute pr01128 {0,1}
@attribute pr01278 {0,1}
@attribute pr01444 {0,1}
@attribute pr01694 {0,1}
@attribute pr01705 {0,1}
@attribute pr01303 {0,1}
@attribute pr00205 {0,1}
@attribute pr00248 {0,1}
@attribute pr01051 {0,1}
@attribute pr00593 {0,1}
@attribute pr01055 {0,1}
@attribute pr01053 {0,1}
@attribute pr01057 {0,1}
@attribute pr01054 {0,1}
@attribute pr01058 {0,1}
@attribute pr01056 {0,1}
@attribute pr00592 {0,1}
@attribute pr01535 {0,1}
@attribute pr01177 {0,1}
@attribute pr01176 {0,1}
@attribute pr01178 {0,1}
@attribute pr01223 {0,1}
@attribute pr00899 {0,1}
@attribute pr00900 {0,1}
@attribute pr00250 {0,1}
@attribute pr00901 {0,1}
@attribute pr00247 {0,1}
@attribute pr00965 {0,1}
@attribute pr00489 {0,1}
@attribute pr00421 {0,1}
@attribute pr00173 {0,1}
@attribute pr01534 {0,1}
@attribute pr01563 {0,1}
@attribute pr00261 {0,1}
@attribute pr01649 {0,1}
@attribute pr01695 {0,1}
@attribute pr01422 {0,1}
@attribute pr00697 {0,1}
@attribute pr00251 {0,1}
@attribute mw {'\'(-inf-34331]\'','\'(34331-34724.5]\'','\'(34724.5-34973.5]\'','\'(34973.5-35228.5]\'','\'(35228.5-35459]\'','\'(35459-35741]\'','\'(35741-36490.5]\'','\'(36490.5-37407.5]\'','\'(37407.5-38783.5]\'','\'(38783.5-39541.5]\'','\'(39541.5-40447.5]\'','\'(40447.5-41067.5]\'','\'(41067.5-42253.5]\'','\'(42253.5-43711]\'','\'(43711-46443.5]\'','\'(46443.5-49401.5]\'','\'(49401.5-52972.5]\'','\'(52972.5-62071.5]\'','\'(62071.5-86859]\'','\'(86859-inf)\''}
@attribute sl {'\'(-inf-306.5]\'','\'(306.5-309.5]\'','\'(309.5-311.5]\'','\'(311.5-313.5]\'','\'(313.5-315.5]\'','\'(315.5-318.5]\'','\'(318.5-323.5]\'','\'(323.5-332.5]\'','\'(332.5-344.5]\'','\'(344.5-351.5]\'','\'(351.5-354.5]\'','\'(354.5-362.5]\'','\'(362.5-374.5]\'','\'(374.5-387.5]\'','\'(387.5-410.5]\'','\'(410.5-437.5]\'','\'(437.5-469.5]\'','\'(469.5-545.5]\'','\'(545.5-763.5]\'','\'(763.5-inf)\''}
@attribute class {R.001.001.001,R.001.001,R.001,R.001.001.001.003,R.001.001.002.001,R.001.001.002,R.001.001.002.002,R.001.001.003.001,R.001.001.003,R.001.001.003.002,R.001.001.003.201,R.001.001.004.001,R.001.001.004,R.001.001.004.003,R.001.001.005.001,R.001.001.005,R.001.001.005.002,R.001.001.005.999,R.001.001.006,R.001.001.007,R.001.002.001.001,R.001.002.001,R.001.002,R.001.002.002,R.001.002.003,R.001.002.004,R.001.002.005,R.001.002.007.002,R.001.002.007,R.001.002.007.003,R.001.002.008.001,R.001.002.008,R.001.002.008.002,R.001.002.009.002,R.001.002.009,R.001.002.010,R.001.002.011.001,R.001.002.011,R.001.002.011.002,R.001.002.011.003,R.001.002.012,R.001.002.014,R.001.002.014.999,R.001.002.016,R.001.002.016.003,R.001.002.016.004,R.001.002.017,R.001.002.018.001,R.001.002.018,R.001.002.018.002,R.001.002.020.001,R.001.002.020,R.001.002.020.002,R.001.002.021.001,R.001.002.021,R.001.002.022.002,R.001.002.022,R.001.002.023.001,R.001.002.023,R.001.002.027.001,R.001.002.027,R.001.002.028.001,R.001.002.028,R.001.002.028.002,R.001.002.031,R.001.002.999,R.001.003.001,R.001.003,R.001.003.003,R.001.004.001.001,R.001.004.001,R.001.004,R.001.004.001.002,R.001.004.001.003,R.001.004.001.004,R.001.004.001.005,R.001.004.101.001,R.001.004.101,R.001.004.101.002,R.001.004.999,R.001.005.001,R.001.005,R.001.005.002,R.001.005.003,R.001.005.004,R.001.005.005,R.001.005.006,R.001.005.007,R.001.005.008,R.001.005.009,R.001.005.010,R.001.005.011,R.001.005.012,R.001.005.013,R.001.005.099,R.001.005.101,R.001.005.102,R.001.005.103,R.001.006,R.001.006.001.002,R.001.006.001,R.001.006.001.003,R.001.006.001.004,R.001.006.001.005,R.001.007.001.001,R.001.007.001,R.001.007,R.001.007.001.002,R.001.007.002.001,R.001.007.002,R.001.007.002.002,R.001.007.002.003,R.001.008,R.001.009,R.001.010.001,R.001.010,R.001.010.002,R.001.011.001,R.001.011,R.001.012,R.001.013,R.001.014,R.001.014.002,R.001.999.001,R.001.999,R.001.999.002,R.001.999.003,R.001.999.007,R.001.999.008,R.001.999.009,R.001.999.010,R.001.999.013,R.002.001,R.002,R.002.002,R.002.004,R.002.005,R.002.006,R.002.007,R.002.009,R.002.011,R.002.012,R.002.012.002,R.002.013,R.003.001.001,R.003.001,R.003,R.003.001.002,R.003.001.003,R.003.002.001,R.003.002,R.003.003,R.003.004,R.003.004.002,R.003.008,R.004.001,R.004,R.004.002,R.007.001.001,R.007.001,R.007,R.007.001.002,R.007.001.003,R.007.002,R.011.001,R.011,R.011.002,R.011.003,R.011.005,R.011.007,R.011.008,R.011.009,R.099.001,R.099,R.099.002,R.099.999,R.195.001,R.195,R.195.003}
@data
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(49401.5-52972.5]\'','\'(437.5-469.5]\'',R.001.001.001
