@RELATION 'Hglass_discretizado'

@ATTRIBUTE 'ri' numeric
@ATTRIBUTE 'na' numeric
@ATTRIBUTE 'mg' numeric
@ATTRIBUTE 'al' numeric
@ATTRIBUTE 'si' numeric
@ATTRIBUTE 'k' numeric
@ATTRIBUTE 'ca' numeric
@ATTRIBUTE 'ba' numeric
@ATTRIBUTE 'fe' numeric
@ATTRIBUTE class hierarchical g/w/b/f,g/w/b/n/f,g/w/v,g/n/w/c,g/n/w/t,g/n/w/h

@DATA
66,24,78,22,96,111,74,1,1,g/w/b/f
30,6,80,57,78,80,54,84,81,g/w/v
66,58,72,65,49,91,41,85,82,g/w/b/f
4,126,31,75,145,16,7,86,83,g/n/w/t
124,7,19,16,3,31,133,87,137,g/w/b/n/f
38,21,44,68,121,77,75,125,131,g/w/b/n/f
63,93,109,6,89,22,85,88,84,g/w/v
77,54,43,46,71,64,93,89,85,g/w/b/f
9,114,17,116,129,25,92,131,107,g/n/w/h
65,55,130,47,37,63,44,90,141,g/w/b/n/f
28,69,98,68,58,50,19,90,86,g/w/b/n/f
57,7,48,23,137,110,82,90,135,g/w/b/n/f
115,58,120,11,25,34,121,91,87,g/w/b/f
105,111,119,6,17,29,112,99,88,g/w/v
42,53,67,100,43,92,34,92,126,g/w/v
50,83,73,97,46,108,9,93,93,g/w/b/n/f
51,131,22,111,94,18,53,133,112,g/n/w/h
28,17,51,68,124,116,23,93,89,g/w/b/n/f
98,63,23,101,95,51,128,94,90,g/n/w/c
71,37,46,68,79,95,75,127,91,g/w/b/n/f
107,49,108,14,33,41,118,95,128,g/w/b/f
122,3,16,110,32,123,133,96,145,g/w/b/n/f
79,37,116,21,35,112,87,96,131,g/w/b/n/f
58,71,111,31,67,74,24,97,121,g/w/b/f
100,28,30,115,31,122,114,129,147,g/n/w/c
11,61,75,68,119,48,11,98,91,g/w/b/n/f
15,25,79,110,74,120,9,83,91,g/w/b/n/f
47,129,3,111,127,14,50,133,109,g/n/w/h
48,59,83,68,70,67,17,90,91,g/w/b/n/f
21,68,82,55,52,71,29,82,92,g/w/v
46,35,89,92,110,114,9,75,80,g/w/b/n/f
76,68,54,77,30,68,88,69,79,g/w/v
1,138,7,2,147,1,4,70,78,g/n/w/t
