@relation 'actinopterygii'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute class hierarchical perciformes/pomacentridae/chromis/c-chrysura,perciformes/acanthuridae/acanthurus/a-nigrofuscus,perciformes/chaetodontidae/chaetodon/c-lunulatus,beryciformes/holocentridae/myripristis/m-kuntee,perciformes/chaetodontidae/chaetodon/c-trifascialis,perciformes/pomacentridae/dascyllus/d-reticulatus,perciformes/pomacentridae/plectroglyphidodon/p-dickii,perciformes/pomacentridae/amphiprion/a-clarkii,perciformes/acanthuridae/zebrasoma/z-scopas,perciformes/pomacentridae/neoglyphidodon/n-nigroris,perciformes/pomacentridae/dascyllus/d-aruanus,perciformes/pomacentridae/abudefduf/a-vaigiensis,perciformes/pempheridae/pempheris/p-vanicolensis,perciformes/labridae/hemigymnus/h-melapterus,perciformes/chaetodontidae/chaetodon/c-speculum

@data
0.249521,0.182552,0.970767,29.609055,0.93653,10.324288,118.897959,1.774608,2.755905,0.164145,0.415696,-0.721339,0.977432,0.972791,1.845571,perciformes/pomacentridae/chromis/c-chrysura
0.158677,0.410711,0.926608,16.764615,0.889884,7.505622,67.115876,2.12088,3.465236,0.363681,0.623179,-0.606946,0.975283,0.951507,1.864008,perciformes/pomacentridae/chromis/c-chrysura
0.46845,0.091954,0.981853,32.088425,0.962359,10.90413,128.942276,1.295141,1.964587,0.088064,0.279659,-0.773368,0.957093,0.983409,1.833653,perciformes/pomacentridae/chromis/c-chrysura
0.10905,0.746132,0.892382,18.850629,0.851771,7.875755,75.147642,2.291482,3.881359,0.670507,0.781758,-0.548358,0.973,0.94561,1.858528,perciformes/pomacentridae/chromis/c-chrysura
0.328678,0.111111,0.977247,31.165756,0.95122,10.750226,125.222824,1.635552,2.485421,0.101781,0.332967,-0.746197,0.973703,0.983646,1.938062,perciformes/pomacentridae/chromis/c-chrysura
0.348638,0.116859,0.980633,34.36379,0.945269,11.228893,138.039132,1.503803,2.294731,0.10481,0.355482,-0.732866,0.964188,0.982301,1.813487,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.21782,0.152137,0.983317,27.316389,0.933784,9.572084,109.710698,1.823218,2.793362,0.133833,0.412292,-0.743876,0.981543,0.984515,1.821229,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.203304,0.190468,0.974025,17.035769,0.919204,7.344086,68.410636,1.98924,3.096937,0.164492,0.472744,-0.690443,0.980728,0.97923,1.790375,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.230684,0.05042,0.980633,20.814927,0.97479,8.866,83.762435,1.566153,2.309902,0.05344,0.199751,-0.84188,0.982449,0.981421,1.850506,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.288755,0.126396,0.982134,18.376783,0.94063,7.735646,73.863238,1.605148,2.45125,0.112017,0.375185,-0.727097,0.969129,0.985154,1.602172,perciformes/acanthuridae/acanthurus/a-nigrofuscus
