@relation 'churchs.train'

@attribute "chip_affymetrix_chip.a" numeric 
@attribute "chip_affymetrix_chip.b" numeric 
@attribute "chip_affymetrix_chip.c" numeric 
@attribute "chip_affymetrix_chip.d" numeric 
@attribute "chip_affymetrix_chip.a.d" numeric 
@attribute "pp_number_of_probe_pairs" numeric 
@attribute "a_fy4_a" numeric 
@attribute "alpha_fy5_alpha" numeric 
@attribute "gal_gal" numeric 
@attribute "heat_heat" numeric 
@attribute "rel_alpha_fy5_alpha" numeric 
@attribute "rel_gal_gal" numeric 
@attribute "rel_heat_heat" numeric 
@attribute "avg_abund" numeric 
@attribute "median_deviation_of_log_fc_gal" numeric 
@attribute "sig_gal" numeric 
@attribute "sig_and_fc_gal" numeric 
@attribute "median_deviation_of_log_fc_fy5_alpha" numeric 
@attribute "sig_fy5_alpha" numeric 
@attribute "sig_and_fc_fy5_alpha" numeric 
@attribute "median_deviation_of_log_fc_heat" numeric 
@attribute "sig_heat" numeric 
@attribute "sig_and_fc_heat" numeric 
@attribute "thrshld_gal" numeric 
@attribute "thrshld_fy5_alpha" numeric 
@attribute "thrshld_heat" numeric 
@attribute "below_threshold_in_all_conditions" numeric 
@attribute class hierarchical 01,02,10,11,12,14,16,18,20,30,32,34,38,40,41,42,43,99,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/20,01/25,02/01,02/04,02/07,02/08,02/10,02/11,02/13,02/16,02/19,02/25,02/45,10/01,10/03,11/02,11/04,11/06,12/01,12/04,12/07,12/10,14/01,14/04,14/07,14/10,14/13,16/01,16/02,16/03,16/06,16/07,16/09,16/11,16/13,16/17,16/19,16/21,18/01,18/02,20/01,20/03,20/09,30/01,30/05,32/01,32/05,32/07,32/10,34/01,34/07,34/11,38/07,40/01,40/10,40/20,41/01,42/01,42/02,42/03,42/04,42/05,42/07,42/08,42/09,42/10,42/16,42/19,42/22,42/25,42/27,42/29,43/01,01/01/03,01/01/05,01/01/06,01/01/09,01/01/11,01/01/13,01/02/02,01/02/03,01/02/07,01/03/01,01/03/04,01/03/07,01/03/10,01/03/13,01/03/16,01/04/04,01/05/02,01/05/03,01/05/05,01/05/06,01/05/09,01/05/11,01/05/13,01/05/25,01/06/02,01/06/05,01/06/06,01/06/10,01/07/01,01/07/03,01/07/04,01/07/07,01/20/01,01/20/05,01/20/15,01/20/17,01/20/19,01/20/27,01/20/31,01/20/33,01/20/37,01/25/01,02/01/01,02/01/03,02/07/01,02/11/05,02/13/01,02/13/03,02/13/05,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/45/11,02/45/15,10/01/02,10/01/03,10/01/05,10/01/09,10/01/11,10/03/01,10/03/02,10/03/03,10/03/04,10/03/05,11/02/01,11/02/02,11/02/03,11/04/01,11/04/02,11/04/03,11/06/01,11/06/02,11/06/03,12/01/01,12/04/01,12/04/02,12/04/03,14/07/01,14/07/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/13/01,14/13/04,16/03/01,16/03/03,16/13/01,16/13/03,16/17/01,16/17/07,16/17/09,16/19/01,16/19/03,16/19/05,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18/01/01,18/01/07,18/02/01,18/02/03,18/02/05,18/02/09,20/01/01,20/01/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03/01,20/03/02,20/03/22,20/03/25,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/13,20/09/14,20/09/16,20/09/18,30/01/05,30/01/09,30/05/01,30/05/02,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05/01,32/05/05,32/07/01,32/07/03,32/07/05,32/07/07,32/10/03,34/01/01,34/01/03,34/07/01,34/07/02,34/11/03,34/11/09,34/11/11,34/11/12,40/01/03,40/01/05,40/10/02,41/01/01,42/04/03,42/04/05,42/10/03,42/10/05,42/10/07,42/27/03,43/01/03,01/01/03/01,01/01/03/02,01/01/03/03,01/01/03/05,01/01/05/01,01/01/05/03,01/01/06/01,01/01/06/02,01/01/06/04,01/01/06/05,01/01/06/06,01/01/09/01,01/01/09/02,01/01/09/03,01/01/09/04,01/01/09/05,01/01/09/06,01/01/09/07,01/01/11/01,01/01/11/02,01/01/11/03,01/01/11/04,01/02/02/09,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07/01,01/02/07/03,01/03/01/01,01/03/01/03,01/03/04/01,01/03/04/03,01/03/16/01,01/03/16/03,01/05/02/04,01/05/02/07,01/05/03/01,01/05/03/02,01/05/03/03,01/05/05/04,01/05/05/07,01/05/06/07,01/05/09/04,01/05/09/07,01/05/11/04,01/05/11/07,01/05/13/01,01/05/13/03,01/06/02/01,01/06/02/02,01/06/06/09,01/06/06/11,01/20/01/01,01/20/01/07,01/20/05/09,01/20/15/03,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19/01,01/20/19/05,01/20/37/01,10/01/03/03,10/01/03/05,10/01/05/01,10/01/05/03,10/01/09/03,10/01/09/05,10/03/01/01,10/03/01/02,10/03/01/03,10/03/02/01,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05/01,10/03/05/03,11/02/03/01,11/02/03/04,11/04/03/01,11/04/03/03,11/04/03/05,11/04/03/11,14/07/02/01,14/07/02/02,14/07/11/01,14/13/01/01,14/13/04/02,18/02/01/01,18/02/01/02,20/01/01/01,20/01/01/07,20/01/03/01,20/01/03/03,20/03/01/01,20/03/01/05,20/03/02/02,20/03/02/03,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/14/02,20/09/16/09,20/09/18/09,30/01/05/01,30/01/05/05,30/01/05/07,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05/01/10,30/05/02/24,32/05/01/01,32/05/01/03,32/05/01/07,32/05/05/01,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,34/01/01/01,34/01/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/11/03/07,34/11/03/11,34/11/03/13,40/01/03/01,40/01/05/01,40/10/02/01,40/10/02/02,40/10/02/03,43/01/03/05,43/01/03/06,43/01/03/09,01/01/03/01/01,01/01/03/01/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03/01,01/01/03/03/02,01/01/03/05/01,01/01/03/05/02,01/01/05/01/01,01/01/05/01/02,01/01/06/01/01,01/01/06/01/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04/01,01/01/06/04/02,01/01/06/05/01,01/01/06/06/01,01/01/06/06/02,01/01/09/01/01,01/01/09/01/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03/01,01/01/09/04/01,01/01/09/04/02,01/01/09/05/01,01/01/09/06/01,01/01/09/06/02,01/01/09/07/01,01/01/11/02/01,01/01/11/02/02,01/01/11/03/01,01/01/11/03/02,01/01/11/04/01,01/01/11/04/02,01/02/02/09/01,01/02/02/09/05,01/05/03/01/04,01/05/03/02/04,01/05/03/03/04,01/05/11/07/01,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04/01,11/02/03/04/03,11/04/03/01/10,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,20/01/01/01/01,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/03/02/02/01,20/03/02/02/02,20/03/02/03/01,20/09/16/09/03,20/09/18/09/01,30/01/05/01/03,30/01/05/05/01,32/05/01/03/03,40/10/02/02/01,40/10/02/03/02,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06/01/03,20/01/01/01/01/01

@data
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.040342,-0.283239,1.756185,-0.305382,-0.306458,13.041944,-0.043052,-0.124435,0.293125,-1.166187,-0.404572,-0.231558,0.776098,3.689174,4.489594,0.205492,-0.405895,-0.264977,0.375621,-4.276216,0.488846,-0.806889,30@34@30/05@34/11@34/11/03@34/11/03/07
1.721661,-0.597481,-0.582367,-0.545516,-0.042927,-0.078374,-0.283239,-0.009265,-0.305382,-0.306458,7.218024,-0.043052,-0.124435,-0.230816,-0.485493,-0.404572,-0.231558,0.136705,2.953746,4.489594,-1.487253,-0.405895,-0.264977,0.375621,-4.276216,0.488846,-0.806889,11@18@34@41@11/02@18/02@34/11@41/01@11/02/03@18/02/09@34/11/03@41/01/01@11/02/03/01@11/02/03/04@34/11/03/07
1.721661,-0.597481,-0.582367,-0.545516,-0.042927,-0.078374,-0.283239,-0.087481,-0.305382,-0.306458,6.794466,-0.043052,-0.124435,-0.250967,-0.485493,-0.404572,-0.231558,0.136705,2.708603,4.489594,-1.487253,-0.405895,-0.264977,0.375621,-4.276216,0.488846,-0.806889,11@18@34@41@11/02@18/02@34/11@41/01@11/02/03@18/02/09@34/11/03@41/01/01@11/02/03/01@11/02/03/04@34/11/03/07
-0.580478,-0.597481,1.716078,-0.545516,-0.042927,-0.040342,-0.101356,0.67792,-0.162047,-0.236564,5.206124,-0.043052,-0.124435,0.078175,-0.096526,-0.404572,-0.231558,0.989229,1.115174,4.489594,0.099695,-0.405895,-0.264977,0.375621,0,0.488846,-0.806889,16@34@41@16/01@34/11@41/01@34/11/03@41/01/01@34/11/03/07
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.040342,-0.077105,0.314774,-0.033046,0.105918,4.147229,1.202127,1.348896,0.098326,0.1952,0.862252,-0.231558,0.030139,1.728031,4.489594,0.099695,0.617313,-0.264977,0,0,0,-0.806889,01@16@01/03@16/19@01/03/04@01/03/04/03
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.078374,0.280599,0.812005,1.615303,0.637113,3.82956,2.892013,0.268453,0.857368,0.486925,1.988318,4.315915,-0.023144,1.60546,4.489594,1.47505,-0.254739,-0.264977,0,0,0,-0.806889,12@12/01@12/01/01
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.040342,2.602641,5.13624,0.26079,3.390943,3.511892,-6.535772,0.170231,3.147929,0.000716,6.914857,4.315915,0.349836,0.992603,4.489594,-0.006101,-0.184975,-0.264977,0,0,0,-0.806889,11@12@11/04@12/01@12/07@11/04/01@11/04/03@12/01/01@11/04/03/01@11/04/03/01/10
-0.580478,-0.597481,1.716078,-0.545516,-0.042927,-0.040342,0.244222,1.292475,0.253623,0.490335,3.511892,-1.288231,-1.106655,0.635701,1.362102,0.299219,-0.231558,0.189987,1.115174,4.489594,0.946068,0.0592,-0.264977,0,0,0,-0.806889,12@16@12/01@16/03@12/01/01@16/03/03
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.078374,-0.216549,-0.026025,-0.162047,-0.068818,3.406003,-0.043052,2.331116,-0.116624,0.292442,-0.404572,-0.231558,-0.289558,1.850603,4.489594,-0.852473,3.233469,3.771593,0.375621,-4.276216,-3.438663,-0.806889,11@12@16@32@11/04@12/01@16/03@32/01@11/04/01@12/01/01@16/03/01@16/03/03
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.078374,1.074822,2.002008,3.249318,0.853785,3.088334,2.091541,-2.579984,1.871663,0.389683,1.425285,4.315915,-0.023144,1.237746,4.489594,1.263457,0.62894,-0.264977,0,0,0,-0.806889,12@12/01@12/01/01
-0.580478,-0.597481,1.716078,-0.545516,-0.042927,-0.078374,0.050213,0.560596,0.074455,0.720986,3.088334,-0.043052,2.134672,0.380448,0.097958,-0.404572,-0.231558,-0.129709,1.360317,4.489594,0.417085,0.931252,3.771593,0.375621,0,0,-0.806889,01@01/06@01/06/06@01/06/06/11
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.078374,-0.228674,0.007496,0.024288,0.043013,2.876555,3.692485,3.706224,-0.042734,1.556586,1.566044,4.315915,0.403119,0.74746,-0.222601,1.79244,0.966134,3.771593,0,0,0,-0.806889,14@14/13@14/13/01
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,-0.078374,2.548076,4.644596,3.349652,2.258657,2.876555,0.935303,-1.008433,3.436768,-0.096526,0.721494,-0.231558,-0.502689,2.095746,4.489594,0.734475,0.047572,-0.264977,0,0,0,-0.806889,12@16@12/01@16/03@12/01/01@16/03/03
-0.580478,-0.597481,1.716078,-0.545516,-0.042927,-0.040342,0.122966,0.67792,0.404125,0.525282,2.770666,1.202127,0.464897,0.461054,0.681409,0.580736,-0.231558,0.349836,0.74746,-0.222601,0.628678,-0.091956,-0.264977,0,0,0,-0.806889,01@16@30@32@40@42@01/05@16/03@30/01@32/01@40/10@42/10@01/05/25@16/03/01@32/01/09@40/10/02@42/10/03@40/10/02/01
-0.580478,-0.597481,1.716078,-0.545516,-0.042927,-0.078374,0.359415,1.029893,0.138955,1.03551,2.664776,-2.088703,1.54534,0.696156,0.1952,1.566044,4.315915,0.083422,0.870032,4.489594,0.099695,0.756841,-0.264977,0,-4.276216,0,-0.806889,11@20@42@11/04@20/01@20/09@42/10@11/04/01@20/01/21@20/09/01
-0.580478,-0.597481,-0.582367,1.832001,-0.042927,-0.078374,-0.052854,0.186276,0.110289,0.043013,2.558887,1.202127,-0.517323,0.084892,0.292442,0.721494,-0.231558,-0.449406,1.60546,4.489594,0.099695,-0.126838,-0.264977,0,0,0,-0.806889,14@20@14/04@20/09@20/09/07@20/09/07/03
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,1.138652,1.002068,2.560694,3.471487,1.419928,2.452998,1.202127,-0.026213,2.207523,1.070376,0.439977,-0.231558,-0.236275,1.115174,4.489594,-0.111898,-0.324503,-0.264977,0,0,0,-0.806889,12@12/01@12/01/01
-0.580478,-0.597481,1.716078,-0.545516,-0.042927,-0.078374,-0.101356,0.404164,0.533126,-0.096776,2.452998,2.091541,-0.124435,0.192367,1.75107,0.721494,-0.231558,0.083422,0.74746,-0.222601,0.099695,-0.405895,-0.264977,-4.191139,-4.276216,0.488846,-0.806889,01@16@01/05@01/20@16/21@01/05/02@01/20/01@16/21/07@01/05/02/04@01/20/01/01
-0.580478,1.672667,-0.582367,-0.545516,-0.042927,1.062588,0.759558,1.677969,0.826962,0.902711,2.347108,0.223772,0.563119,1.132773,0.778651,-0.263814,-0.231558,-0.236275,1.115174,4.489594,-0.111898,0.140591,-0.264977,0,0,0,-0.806889,12@12/01@12/01/01
-0.580478,-0.597481,-0.582367,1.832001,-0.042927,-0.040342,-0.016477,0.063365,-0.011546,0.462378,2.347108,0.045889,4.099112,0.125195,-0.485493,-0.263814,-0.231558,0.030139,0.74746,-0.222601,-0.535084,4.140403,3.771593,0,0,0,-0.806889,10@16@42@10/03@16/01@42/04@10/03/01@10/03/05@42/04/05@10/03/05/01
-0.580478,-0.597481,-0.582367,1.832001,-0.042927,-0.078374,-0.283239,-0.176871,-0.262382,-0.299469,2.347108,0.846362,-0.320879,-0.257684,0.875893,0.158461,-0.231558,-0.076426,0.870032,4.489594,1.79244,-0.336131,-0.264977,-4.191139,-4.276216,0,-0.806889,01@10@11@01/03@10/03@11/04@01/03/16@10/03/01@11/04/01@01/03/16/01
-0.580478,-0.597481,-0.582367,1.832001,-0.042927,-0.078374,-0.089231,0.130407,0.246457,0.084949,2.347108,1.913658,0.956008,0.098326,0.486925,1.284527,4.315915,-0.129709,0.992603,4.489594,-0.535084,0.756841,-0.264977,0,0,-3.438663,-0.806889,11@11/04@11/06@11/04/01@11/06/01
