@relation 'derisi.train'

@attribute "g1" numeric 
@attribute "g1_bkg" numeric 
@attribute "r1" numeric 
@attribute "r1_bkg" numeric 
@attribute "g2" numeric 
@attribute "g2_bkg" numeric 
@attribute "r2" numeric 
@attribute "r2_bkg" numeric 
@attribute "f2" numeric 
@attribute "g3" numeric 
@attribute "g3_bkg" numeric 
@attribute "r3" numeric 
@attribute "r3_bkg" numeric 
@attribute "f3" numeric 
@attribute "g4" numeric 
@attribute "g4_bkg" numeric 
@attribute "r4" numeric 
@attribute "r4_bkg" numeric 
@attribute "f4" numeric 
@attribute "g5" numeric 
@attribute "g5_bkg" numeric 
@attribute "r5" numeric 
@attribute "r5_bkg" numeric 
@attribute "f5" numeric 
@attribute "g6" numeric 
@attribute "g6_bkg" numeric 
@attribute "r6" numeric 
@attribute "r6_bkg" numeric 
@attribute "g7" numeric 
@attribute "g7_bkg" numeric 
@attribute "r7" numeric 
@attribute "r7_bkg" numeric 
@attribute "f7" numeric 
@attribute "g1_ratio" numeric 
@attribute "g2_ratio" numeric 
@attribute "g3_ratio" numeric 
@attribute "g4_ratio" numeric 
@attribute "g5_ratio" numeric 
@attribute "g6_ratio" numeric 
@attribute "g7_ratio" numeric 
@attribute "r1_ratio" numeric 
@attribute "r2_ratio" numeric 
@attribute "r3_ratio" numeric 
@attribute "r4_ratio" numeric 
@attribute "r5_ratio" numeric 
@attribute "r6_ratio" numeric 
@attribute "r7_ratio" numeric 
@attribute "g1dashbkg" numeric 
@attribute "g2dashbkg" numeric 
@attribute "g3dashbkg" numeric 
@attribute "g4dashbkg" numeric 
@attribute "g5dashbkg" numeric 
@attribute "g6dashbkg" numeric 
@attribute "g7dashbkg" numeric 
@attribute "r1dashbkg" numeric 
@attribute "r2dashbkg" numeric 
@attribute "r3dashbkg" numeric 
@attribute "r4dashbkg" numeric 
@attribute "r5dashbkg" numeric 
@attribute "r6dashbkg" numeric 
@attribute "r7dashbkg" numeric 
@attribute class hierarchical 01,02,10,11,12,14,16,18,20,30,32,34,38,40,41,42,43,99,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/20,01/25,02/01,02/04,02/07,02/08,02/10,02/11,02/13,02/16,02/19,02/25,02/45,10/01,10/03,11/02,11/04,11/06,12/01,12/04,12/07,12/10,14/01,14/04,14/07,14/10,14/13,16/01,16/02,16/03,16/06,16/07,16/09,16/11,16/13,16/17,16/19,16/21,18/01,18/02,20/01,20/03,20/09,30/01,30/05,32/01,32/05,32/07,32/10,34/01,34/07,34/11,38/07,40/01,40/10,40/20,41/01,42/01,42/02,42/03,42/04,42/05,42/07,42/08,42/09,42/10,42/16,42/19,42/22,42/25,42/27,42/29,43/01,01/01/03,01/01/05,01/01/06,01/01/09,01/01/11,01/01/13,01/02/02,01/02/03,01/02/07,01/03/01,01/03/04,01/03/07,01/03/10,01/03/13,01/03/16,01/04/04,01/05/02,01/05/03,01/05/05,01/05/06,01/05/09,01/05/11,01/05/13,01/05/25,01/06/02,01/06/05,01/06/06,01/06/10,01/07/01,01/07/03,01/07/04,01/07/07,01/20/01,01/20/05,01/20/15,01/20/17,01/20/19,01/20/27,01/20/31,01/20/33,01/20/37,01/25/01,02/01/01,02/01/03,02/07/01,02/11/05,02/13/01,02/13/03,02/13/05,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/45/11,02/45/15,10/01/02,10/01/03,10/01/05,10/01/09,10/01/11,10/03/01,10/03/02,10/03/03,10/03/04,10/03/05,11/02/01,11/02/02,11/02/03,11/04/01,11/04/02,11/04/03,11/06/01,11/06/02,11/06/03,12/01/01,12/04/01,12/04/02,12/04/03,14/07/01,14/07/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/13/01,14/13/04,16/03/01,16/03/03,16/13/01,16/13/03,16/17/01,16/17/07,16/17/09,16/19/01,16/19/03,16/19/05,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18/01/01,18/01/07,18/02/01,18/02/03,18/02/05,18/02/09,20/01/01,20/01/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03/01,20/03/02,20/03/22,20/03/25,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/13,20/09/14,20/09/16,20/09/18,30/01/05,30/01/09,30/05/01,30/05/02,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05/01,32/05/05,32/07/01,32/07/03,32/07/05,32/07/07,32/10/03,34/01/01,34/01/03,34/07/01,34/07/02,34/11/03,34/11/09,34/11/11,34/11/12,40/01/03,40/01/05,40/10/02,41/01/01,42/04/03,42/04/05,42/10/03,42/10/05,42/10/07,42/27/03,43/01/03,01/01/03/01,01/01/03/02,01/01/03/03,01/01/03/05,01/01/05/01,01/01/05/03,01/01/06/01,01/01/06/02,01/01/06/04,01/01/06/05,01/01/06/06,01/01/09/01,01/01/09/02,01/01/09/03,01/01/09/04,01/01/09/05,01/01/09/06,01/01/09/07,01/01/11/01,01/01/11/02,01/01/11/03,01/01/11/04,01/02/02/09,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07/01,01/02/07/03,01/03/01/01,01/03/01/03,01/03/04/01,01/03/04/03,01/03/16/01,01/03/16/03,01/05/02/04,01/05/02/07,01/05/03/01,01/05/03/02,01/05/03/03,01/05/05/04,01/05/05/07,01/05/06/07,01/05/09/04,01/05/09/07,01/05/11/04,01/05/11/07,01/05/13/01,01/05/13/03,01/06/02/01,01/06/02/02,01/06/06/09,01/06/06/11,01/20/01/01,01/20/01/07,01/20/05/09,01/20/15/03,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19/01,01/20/19/05,01/20/37/01,10/01/03/03,10/01/03/05,10/01/05/01,10/01/05/03,10/01/09/03,10/01/09/05,10/03/01/01,10/03/01/02,10/03/01/03,10/03/02/01,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05/01,10/03/05/03,11/02/03/01,11/02/03/04,11/04/03/01,11/04/03/03,11/04/03/05,11/04/03/11,14/07/02/01,14/07/02/02,14/07/11/01,14/13/01/01,14/13/04/02,18/02/01/01,18/02/01/02,20/01/01/01,20/01/01/07,20/01/03/01,20/01/03/03,20/03/01/01,20/03/01/05,20/03/02/02,20/03/02/03,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/14/02,20/09/16/09,20/09/18/09,30/01/05/01,30/01/05/05,30/01/05/07,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05/01/10,30/05/02/24,32/05/01/01,32/05/01/03,32/05/01/07,32/05/05/01,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,34/01/01/01,34/01/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/11/03/07,34/11/03/11,34/11/03/13,40/01/03/01,40/01/05/01,40/10/02/01,40/10/02/02,40/10/02/03,43/01/03/05,43/01/03/06,43/01/03/09,01/01/03/01/01,01/01/03/01/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03/01,01/01/03/03/02,01/01/03/05/01,01/01/03/05/02,01/01/05/01/01,01/01/05/01/02,01/01/06/01/01,01/01/06/01/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04/01,01/01/06/04/02,01/01/06/05/01,01/01/06/06/01,01/01/06/06/02,01/01/09/01/01,01/01/09/01/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03/01,01/01/09/04/01,01/01/09/04/02,01/01/09/05/01,01/01/09/06/01,01/01/09/06/02,01/01/09/07/01,01/01/11/02/01,01/01/11/02/02,01/01/11/03/01,01/01/11/03/02,01/01/11/04/01,01/01/11/04/02,01/02/02/09/01,01/02/02/09/05,01/05/03/01/04,01/05/03/02/04,01/05/03/03/04,01/05/11/07/01,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04/01,11/02/03/04/03,11/04/03/01/10,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,20/01/01/01/01,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/03/02/02/01,20/03/02/02/02,20/03/02/03/01,20/09/16/09/03,20/09/18/09/01,30/01/05/01/03,30/01/05/05/01,32/05/01/03/03,40/10/02/02/01,40/10/02/03/02,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06/01/03,20/01/01/01/01/01

@data
-0.6596,0.602592,-0.727608,-0.308954,-0.545793,0.229561,-0.483248,1.293631,-0.055832,-0.695638,0.644125,-0.676221,0.556757,-0.11219,-0.62276,0.406376,-0.581774,0.562736,-0.04322,-0.575503,0.229958,-0.651085,-0.56459,-0.075,-0.516472,2.112952,-0.023407,3.393369,-0.569653,0.236113,2.490845,0.529836,-0.11219,2.491225,0.552192,0.33864,-0.123722,0.063017,-1.064217,-1.30699,-2.088648,-0.637441,-0.474243,-0.095223,-0.275768,1.377513,10.527883,-0.71345,-0.567995,-0.804299,-0.676856,-0.61647,-0.635534,-0.61617,-0.724219,-0.59424,-0.781044,-0.651697,-0.600477,-0.306555,2.500051,01@02@42@01/05@01/07@02/16@02/45@42/01@01/05/06@01/07/01@02/16/13@01/05/06/07
-0.60869,1.180628,-0.717645,0.670169,-0.662809,0.385891,-0.769058,-0.121744,-0.055832,-0.669887,1.102087,-0.712893,0.650813,-0.11219,-0.636204,0.857239,-0.661973,0.640331,-0.04322,-0.631653,0.162665,-0.738205,-0.459787,-0.075,-0.568417,1.203253,-0.592913,0.410879,-0.645895,0.464789,-0.63119,0.096805,-0.11219,5.255847,4.80088,1.948673,3.154382,2.047382,-0.532726,-0.566183,-3.143253,-2.515019,-1.391427,-1.555631,-1.160408,0.065399,0.0927,-0.703195,-0.698184,-0.831537,-0.726398,-0.667252,-0.638674,-0.7206,-0.745141,-0.765769,-0.831431,-0.741537,-0.705768,-0.632927,-0.66377,20@20/01@20/03@20/01/01@20/01/01/07
-0.503956,0.48508,-0.582633,0.067133,0.150977,1.118688,1.03023,2.34587,-0.055832,-0.358961,0.237049,-0.432793,0.321616,-0.11219,-0.241996,0.84231,-0.161686,0.950711,-0.04322,-0.46399,0.317957,-0.562652,-0.489448,-0.075,-0.205523,2.206597,-0.036233,3.8007,-0.210918,0.330566,-0.111778,0.509216,-0.11219,1.15658,-2.583744,0.875317,-0.670072,0.127028,-0.141101,-0.325662,-1.282185,4.640075,-0.841117,0.39158,-0.308532,-0.274099,-0.156196,-0.54687,0.064277,-0.403752,-0.317091,-0.510853,-0.326873,-0.255238,-0.589869,0.845711,-0.495516,-0.247172,-0.518705,-0.353468,-0.181959,11@11/02@11/02/01@11/02/02@11/02/03@11/02/03/01
2.403927,0.713753,2.660298,0.6572,2.759357,1.649559,2.586744,2.508853,-0.055832,4.922119,0.993048,3.799968,0.885953,-0.11219,4.551627,0.701975,2.856023,0.711957,-0.04322,2.581224,0.563835,0.945416,-0.262047,-0.075,3.586911,2.888871,1.17974,4.425504,5.435482,0.658667,0.773317,0.542724,-0.11219,-1.036051,-0.155922,0.485006,1.40606,2.239417,2.488381,3.46496,1.323311,-0.028497,-0.584306,-0.993936,-1.225937,-0.861339,-0.8107,2.391399,2.650914,5.034166,4.656873,2.598477,3.462558,5.554861,2.662851,2.402453,3.884156,2.910358,1.021557,0.82222,0.726665,12@12/04@12/04/02
4.10165,1.885704,3.991101,1.389922,4.731633,1.128459,4.573374,1.762564,-0.055832,4.795284,0.830702,3.981077,0.639526,-0.11219,5.761597,1.33796,6.047735,1.353609,-0.04322,3.132752,0.038432,2.789106,-0.574477,-0.075,3.840171,2.242272,4.882959,4.301233,6.364822,0.504559,7.118785,0.573655,-0.11219,-0.70239,-0.307661,0.192273,-0.597225,-0.385066,-0.183061,-0.316041,0.76499,0.123739,-0.364181,0.316687,0.084642,-0.246572,-0.165415,4.032355,4.679198,4.920625,5.859315,3.2211,3.753106,6.534337,3.982154,4.468121,4.105576,6.175595,2.986266,4.571758,7.268219,01@14@16@20@32@01/04@14/01@14/04@16/01@16/19@20/09@32/01@16/19/03@20/09/01@20/09/05@32/01/07
-0.288209,-0.769448,-0.258726,-0.82121,-0.02899,-0.724703,0.235952,0.167049,-0.055832,-0.269656,-0.453528,-0.25731,-0.299155,-0.11219,-0.432264,-1.062661,-0.421138,-0.604176,-0.04322,-0.294229,-0.339445,-0.290534,-0.014871,-0.075,0.062818,0.570032,0.389329,1.867605,-0.393095,-0.397718,-0.304431,0.184442,-0.11219,-0.368729,-1.268674,-0.198038,0.131242,-0.033001,-0.3509,-0.248695,0.268705,1.392373,-0.033995,-0.282455,-0.210239,-0.118113,-0.211506,-0.237639,0.027701,-0.228566,-0.363566,-0.267477,0.032507,-0.362714,-0.235019,0.224241,-0.232934,-0.387639,-0.300738,0.237398,-0.338176,10@42@43@10/03@42/10@43/01@10/03/02@43/01/03@43/01/03/09
-0.641882,-0.467726,-0.591173,-0.082005,-0.622196,-0.239429,-0.649776,-0.307602,-0.055832,-0.750153,-0.373567,-0.734941,-0.148665,-0.11219,-0.704336,-0.298284,-0.663405,-0.174418,-0.04322,-0.60935,-0.155683,-0.443256,0.445864,-0.075,-0.680445,-0.51358,-0.595194,-0.244992,-0.669703,-0.350491,-0.588669,-0.225391,-0.11219,-0.082734,0.653352,1.119262,-0.232992,-0.833148,-0.784485,-0.537321,-0.103508,-0.738932,-0.987866,-0.02033,0.510579,0.469126,0.055826,-0.618652,-0.608152,-0.740934,-0.705638,-0.611067,-0.65872,-0.654396,-0.593766,-0.630103,-0.754076,-0.675274,-0.523628,-0.580547,-0.577732,10@32@10/01@32/01@10/01/05@10/01/05/01
-0.476371,0.929722,-0.529563,1.545544,-0.34755,1.167541,-0.408639,0.939073,-0.055832,-0.032695,2.071317,0.141354,1.510487,-0.11219,-0.497662,1.242413,-0.438562,0.971602,-0.04322,-0.428044,0.566424,-0.348789,0.131457,-0.075,-0.372368,2.799685,-0.325547,1.681199,-0.482444,0.499588,-0.502973,0.246304,-0.11219,0.91825,0.501613,-1.368971,-1.034306,-0.993178,-0.504753,-0.181349,-1.096078,-0.637441,1.506874,0.80349,0.707166,0.037872,-0.257598,-0.550744,-0.441899,-0.279316,-0.613396,-0.499779,-0.527334,-0.55523,-0.5831,-0.489718,-0.041321,-0.536792,-0.381689,-0.468878,-0.551077,20@20/01@20/01/17
0.493372,0.078549,0.581642,-0.082005,0.517764,1.26199,1.131035,1.851204,-0.055832,0.755988,0.699856,1.032272,0.701603,-0.11219,0.852674,0.994588,2.180064,1.093964,-0.04322,0.114826,0.387838,0.725779,-0.388601,-0.075,0.502552,1.863231,3.550689,3.60739,1.143768,0.375307,3.177726,0.475707,-0.11219,-0.893054,-1.875629,-1.027449,-2.16343,-1.953354,-1.078204,-0.816326,1.075168,2.610261,0.956564,3.050272,2.541976,1.450918,0.562836,0.495675,0.422616,0.708432,0.804198,0.077734,0.406137,1.14251,0.58934,0.98822,0.997178,2.17576,0.810154,3.284401,3.215681,01@11@16@20@01/04@11/04@16/19@20/01@20/03@20/09@11/04/01@16/19/03@20/01/01@20/01/10@20/01/13@20/03/22@20/09/07@20/01/01/01@20/09/07/06
1.786512,-0.801208,1.850429,-0.886053,1.222656,-0.346906,1.463388,0.624545,-0.055832,1.71616,-0.373567,1.355792,-0.114805,-0.11219,0.788643,-1.071618,0.298023,-0.750413,-0.04322,2.022611,0.123842,1.350839,0.720723,-0.075,2.395298,0.96691,1.448246,2.164473,1.352161,0.171487,0.410906,1.14072,-0.11219,-0.750056,-0.813457,0.241062,1.40606,0.607117,0.823975,0.992397,0.827026,0.732683,-0.400869,-0.993936,-0.603412,-0.641124,-0.626332,1.872747,1.259251,1.8404,0.901157,2.069316,2.364372,1.381008,1.894694,1.424711,1.440018,0.372273,1.308168,1.281846,0.274546,12@12/04@12/04/01
-0.487585,-1.185506,-0.469174,-1.035191,-0.444006,-1.021079,-0.465941,-0.756519,-0.055832,-0.70687,-0.787913,-0.672621,-0.536177,-0.11219,-0.587441,-0.611798,-0.592038,-0.526581,-0.04322,-0.140473,0.12643,0.061358,0.617898,-0.075,-0.127007,-0.83911,-0.131721,-0.006807,-0.493947,-0.517027,-0.518019,-0.287253,-0.11219,0.250928,0.248715,0.143484,0.386206,-0.89716,-0.029208,-0.008173,-0.475722,-0.383714,-0.327494,-0.469686,0.608873,-0.338328,-0.349782,-0.410371,-0.367213,-0.646603,-0.559844,-0.157809,-0.082698,-0.453848,-0.440545,-0.40761,-0.639817,-0.571785,-0.021511,-0.132433,-0.496755,01@14@01/07@01/20@14/07@14/10@01/07/04@01/20/19@01/20/19/01
