@relation 'eisen.train'

@attribute "alpha_0" numeric 
@attribute "alpha_7" numeric 
@attribute "alpha_14" numeric 
@attribute "alpha_21" numeric 
@attribute "alpha_28" numeric 
@attribute "alpha_35" numeric 
@attribute "alpha_42" numeric 
@attribute "alpha_49" numeric 
@attribute "alpha_56" numeric 
@attribute "alpha_63" numeric 
@attribute "alpha_70" numeric 
@attribute "alpha_77" numeric 
@attribute "alpha_84" numeric 
@attribute "alpha_91" numeric 
@attribute "alpha_98" numeric 
@attribute "alpha_105" numeric 
@attribute "alpha_112" numeric 
@attribute "alpha_119" numeric 
@attribute "elu_0" numeric 
@attribute "elu_30" numeric 
@attribute "elu_60" numeric 
@attribute "elu_90" numeric 
@attribute "elu_120" numeric 
@attribute "elu_150" numeric 
@attribute "elu_180" numeric 
@attribute "elu_210" numeric 
@attribute "elu_240" numeric 
@attribute "elu_270" numeric 
@attribute "elu_300" numeric 
@attribute "elu_330" numeric 
@attribute "elu_360" numeric 
@attribute "elu_390" numeric 
@attribute "cdc15_10" numeric 
@attribute "cdc15_30" numeric 
@attribute "cdc15_50" numeric 
@attribute "cdc15_70" numeric 
@attribute "cdc15_90" numeric 
@attribute "cdc15_110" numeric 
@attribute "cdc15_130" numeric 
@attribute "cdc15_150" numeric 
@attribute "cdc15_170" numeric 
@attribute "cdc15_190" numeric 
@attribute "cdc15_210" numeric 
@attribute "cdc15_230" numeric 
@attribute "cdc15_250" numeric 
@attribute "cdc15_270" numeric 
@attribute "cdc15_290" numeric 
@attribute "spo_0" numeric 
@attribute "spo_2" numeric 
@attribute "spo_5" numeric 
@attribute "spo_7" numeric 
@attribute "spo_9" numeric 
@attribute "spo_11" numeric 
@attribute "spo5_2" numeric 
@attribute "spo5_7" numeric 
@attribute "spo5_11" numeric 
@attribute "spo__early" numeric 
@attribute "spo__mid" numeric 
@attribute "heat_0" numeric 
@attribute "heat_10" numeric 
@attribute "heat_20" numeric 
@attribute "heat_40" numeric 
@attribute "heat_80" numeric 
@attribute "heat_160" numeric 
@attribute "dtt_15" numeric 
@attribute "dtt_30" numeric 
@attribute "dtt_60" numeric 
@attribute "dtt_120" numeric 
@attribute "cold_0" numeric 
@attribute "cold_20" numeric 
@attribute "cold_40" numeric 
@attribute "cold_160" numeric 
@attribute "diau_540" numeric 
@attribute "diau_660" numeric 
@attribute "diau_780" numeric 
@attribute "diau_900" numeric 
@attribute "diau_1020" numeric 
@attribute "diau_1140" numeric 
@attribute "diau_1260" numeric 
@attribute class hierarchical 01,02,10,11,12,14,16,18,20,30,32,34,38,40,41,42,43,99,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/20,02/01,02/04,02/07,02/08,02/10,02/11,02/13,02/16,02/19,02/25,02/45,10/01,10/03,11/02,11/04,11/06,12/01,12/04,12/07,12/10,14/01,14/04,14/07,14/10,14/13,16/01,16/02,16/03,16/06,16/07,16/09,16/11,16/13,16/17,16/19,16/21,18/01,18/02,20/01,20/03,20/09,30/01,30/05,32/01,32/05,32/07,34/01,34/07,34/11,38/07,40/01,40/10,40/20,41/01,42/01,42/02,42/03,42/04,42/07,42/08,42/09,42/10,42/16,42/19,42/22,42/25,42/29,43/01,01/01/03,01/01/05,01/01/06,01/01/09,01/01/11,01/01/13,01/02/02,01/02/03,01/02/07,01/03/01,01/03/04,01/03/07,01/03/10,01/03/13,01/03/16,01/04/04,01/05/02,01/05/03,01/05/05,01/05/06,01/05/09,01/05/11,01/05/13,01/05/25,01/06/02,01/06/05,01/06/06,01/06/10,01/07/01,01/07/03,01/07/04,01/07/07,01/20/05,01/20/15,01/20/17,01/20/19,01/20/31,01/20/37,02/01/03,02/07/01,02/11/05,02/13/01,02/13/03,02/16/01,02/16/03,02/16/11,02/16/13,02/45/11,02/45/15,10/01/02,10/01/03,10/01/05,10/01/09,10/01/11,10/03/01,10/03/02,10/03/03,10/03/04,10/03/05,11/02/01,11/02/02,11/02/03,11/04/01,11/04/02,11/04/03,11/06/01,11/06/02,11/06/03,12/01/01,12/04/01,12/04/02,12/04/03,14/07/01,14/07/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/13/01,14/13/04,16/03/01,16/03/03,16/13/01,16/13/03,16/17/07,16/17/09,16/19/03,16/19/05,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18/01/01,18/01/07,18/02/01,18/02/03,18/02/05,18/02/09,20/01/01,20/01/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03/01,20/03/02,20/03/22,20/03/25,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/13,20/09/14,20/09/16,20/09/18,30/01/05,30/01/09,30/05/01,30/05/02,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05/01,32/05/05,32/07/01,32/07/03,32/07/07,34/01/01,34/01/03,34/07/01,34/07/02,34/11/03,34/11/09,34/11/11,34/11/12,40/01/03,40/01/05,40/10/02,41/01/01,42/04/03,42/04/05,42/10/03,42/10/05,42/10/07,43/01/03,01/01/03/01,01/01/03/02,01/01/03/03,01/01/03/05,01/01/05/01,01/01/05/03,01/01/06/01,01/01/06/02,01/01/06/04,01/01/06/05,01/01/06/06,01/01/09/01,01/01/09/02,01/01/09/03,01/01/09/04,01/01/09/05,01/01/09/06,01/01/09/07,01/01/11/02,01/01/11/03,01/01/11/04,01/02/02/09,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07/01,01/02/07/03,01/03/01/01,01/03/01/03,01/03/04/01,01/03/04/03,01/03/16/01,01/03/16/03,01/05/02/04,01/05/02/07,01/05/03/02,01/05/03/03,01/05/05/04,01/05/05/07,01/05/06/07,01/05/09/04,01/05/09/07,01/05/11/04,01/05/13/01,01/05/13/03,01/06/02/01,01/06/02/02,01/06/06/09,01/06/06/11,01/20/15/03,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19/01,01/20/19/05,01/20/37/01,10/01/03/03,10/01/03/05,10/01/05/01,10/01/05/03,10/01/09/03,10/01/09/05,10/03/01/01,10/03/01/02,10/03/01/03,10/03/02/01,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05/01,10/03/05/03,11/02/03/01,11/02/03/04,11/04/03/01,11/04/03/03,11/04/03/05,11/04/03/11,14/07/02/01,14/07/02/02,14/07/11/01,14/13/01/01,14/13/04/02,18/02/01/01,18/02/01/02,20/01/01/01,20/01/01/07,20/01/03/01,20/01/03/03,20/03/01/01,20/03/01/05,20/03/02/02,20/03/02/03,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/14/02,20/09/16/09,20/09/18/09,30/01/05/01,30/01/05/05,30/01/05/07,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05/02/24,32/05/01/01,32/05/01/03,32/05/01/07,32/05/05/01,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,34/01/01/01,34/01/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/11/03/07,34/11/03/11,34/11/03/13,40/01/03/01,40/10/02/03,43/01/03/05,43/01/03/06,43/01/03/09,01/01/03/01/01,01/01/03/01/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03/01,01/01/03/03/02,01/01/03/05/01,01/01/03/05/02,01/01/05/01/01,01/01/05/01/02,01/01/06/01/01,01/01/06/01/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04/01,01/01/06/04/02,01/01/06/05/01,01/01/06/06/01,01/01/06/06/02,01/01/09/01/02,01/01/09/02/01,01/01/09/03/01,01/01/09/04/01,01/01/09/05/01,01/01/09/06/01,01/01/09/07/01,01/01/11/02/01,01/01/11/02/02,01/01/11/03/01,01/01/11/03/02,01/01/11/04/01,01/01/11/04/02,01/02/02/09/01,01/05/03/02/04,01/05/03/03/04,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/09,10/03/01/01/11,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04/01,11/02/03/04/03,11/04/03/01/10,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,20/01/01/01/01,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/03/02/02/01,20/03/02/03/01,20/09/16/09/03,20/09/18/09/01,30/01/05/01/03,30/01/05/05/01,32/05/01/03/03,40/10/02/03/02,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06/01/03,20/01/01/01/01/01

@data
-0.263285,0.656173,-0.600116,0.614661,-0.91186,0.807156,-0.23625,-0.114167,-0.315385,-0.13513,-0.904995,-0.390066,0.712195,-0.646726,-1.028083,-1.175837,-0.150874,-0.514925,0.694218,0.312617,1.607458,-0.018902,1.374452,0.617214,-0.192156,-0.515534,-0.111228,-0.87059,1.234565,-0.240726,0.228003,-0.297149,0.496204,0.820444,0.835892,0,0.043998,-0.197674,0.493531,0.374318,0.413449,0.256392,0,0.429981,0.992739,0.73824,1.045222,0.487386,0,1.027617,1.06026,0.770258,0.345992,-0.286064,1.103705,0.075433,0.30934,0.644892,0.027615,-0.842844,0.508134,-0.749616,-1.377694,-0.633835,1.336491,2.695018,1.831821,1.704719,-1.056746,0.197089,-0.367926,-0.316982,-0.21891,-1.094987,-1.037771,-0.410684,-0.610835,-0.51288,-0.757767,14@20@14/04@20/01@20/03@20/09@20/01/10@20/09/05
-1.213876,-1.392724,-1.447889,-1.075785,-1.58363,-0.211371,-1.206785,-0.789647,0,0.394387,-0.13407,-0.210089,-0.300874,-0.646726,-0.288563,0.423671,-0.245572,-0.339907,0.218493,1.291818,1.662533,0.133978,-0.172159,0.617214,1.018355,1.112241,0.836442,0.832869,1.455602,-0.011887,-0.269979,0.577195,0.086776,0.017919,0.297107,0.548927,0.433943,-0.046297,-0.13366,0,0.008638,0.828307,0.491351,0.535314,0.058839,-0.302215,-0.009569,1.571567,0.529734,0,0.600015,0.669938,1.282233,-0.054918,0.715354,0.657682,0.556792,0.469009,-0.445164,-0.590243,-0.154093,-0.371887,-0.23395,-0.633835,1.685615,0.175242,0.76185,1.053084,-0.636042,-0.334284,-0.367926,0.607436,1.016371,0.253038,0.08926,0.16197,0.058415,-0.51288,-1.227193,10@11@14@42@10/01@10/03@11/02@14/07@42/10@10/01/09@10/03/01@11/02/03@14/07/04@42/10/03@10/01/09/05@10/03/01/01@11/02/03/01@11/02/03/04@10/03/01/01/01@11/02/03/01/01
0.294671,0.31469,-1.604057,0,-0.631955,1.795727,0.263722,0.837646,0.018402,-0.770549,-0.794863,-0.390066,0.079027,0.729579,0.450957,0.455034,0.701409,0.535181,0.01667,0.062124,0.175508,0.643576,-0.249489,0.49314,-0.107701,-0.038428,-0.355788,0.226553,1.013528,-0.011887,0.536278,0.421062,1.668658,0.784776,0.893619,0.678767,0.23897,0.540291,-0.801315,0.067838,-2.339263,0.310009,0.907493,1.553533,-0.547377,-0.302215,0.126533,-0.054705,0.799165,0.871407,0.782376,0.790322,0.946408,-0.220023,0.123581,-0.354323,0.132589,0.331362,-0.09058,-0.030129,0.267324,-0.299247,-0.090981,0.034517,0.965547,0.07525,0.76185,0.880593,-0.29948,0.366162,-0.179597,0.538449,0.458502,-0.645645,0,0.2765,-0.015946,-0.606805,-1.112444,20@30@40@42@43@20/09@30/01@40/01@42/04@43/01@20/09/16@30/01/05@42/04/03@43/01/03@20/09/16/09@30/01/05/05@43/01/03/05@20/09/16/09/03@30/01/05/05/01
-0.53193,-0.026793,-0.287779,-0.544502,-0.799898,0.417719,-0.559762,-1.035277,-0.345729,0.570892,-0.409401,0.041879,-0.427508,-0.535134,-0.658323,-0.203587,-1.634478,-0.094883,0.232908,0.745287,-2.330403,-0.350141,-0.40415,-0.20167,-0.192156,0.270288,0.011052,0.428658,0,0.302767,0.299144,1.045593,0.29149,1.480297,1.528616,0.381989,0.203521,-0.197674,0.250747,0.508404,0.676576,0.363626,0.595386,0.061316,-0.580146,-0.890299,-0.145671,-0.179803,-0.599312,0.413935,1.016841,0.830451,1.170291,-1.408774,1.436577,0.588367,-0.070675,0.056066,1.357304,0.650794,0.91751,0.950164,1.134459,0.001914,-0.801895,0.75519,0.76185,1.053084,-1.253074,0,-0.132515,-0.013442,-0.418149,-0.68309,0.558856,1.02095,-0.189455,0.567259,0.806985,20@42@20/03@42/01
0.852627,0.523374,0.96157,1.749675,0.711586,1.166636,0.440183,0,-0.102975,0.323785,0.444123,2.129611,1.007673,0.915566,-0.165309,-0.297676,0.827673,0.535181,0.290572,-0.552723,-0.237554,0.643576,0.730031,0.418696,0.455327,0.158028,-0.569778,-0.062169,0.476723,-0.870034,-0.744248,-0.141016,-0.583197,-0.124752,0.297107,-0.582543,-0.558645,-0.576117,-0.255052,-0.947377,-0.578337,-0.655099,-1.29806,-0.939347,0.14076,-0.460546,-0.826181,-0.138103,0.709355,0.871407,0.756325,0.890643,0.956584,-0.467679,0.43796,0.532914,0.821919,1.034894,-0.681553,-0.304695,-0.178174,0,-0.43819,-0.389316,0.550962,0.495213,0.372769,0.248123,-0.74823,-5.28571,1.688003,0.510855,0.777284,0.365374,0.245792,0,0.331072,0.003708,0.066336,18@20@18/02@20/09@18/02/03@20/09/07@20/09/16@20/09/16/09@20/09/16/09/03
-0.139295,-0.311362,-0.555497,-0.737696,-0.492003,-0.570851,0.587234,1.052572,0.412877,-0.452839,0.69192,-0.642034,-0.638564,0.692381,1.159664,2.368171,0.070088,1.445273,-0.430224,-0.507179,-0.320166,0.159457,-0.32682,-0.697963,-0.47367,-0.206818,0.316752,0.19768,-1.544187,0.188348,0.299144,-0.765548,0,0.588603,0.008472,0.734413,0.664365,0.464602,0.028196,-0.755827,0.45393,1.346605,0.824264,1.219978,0.517597,-0.23436,-1.506691,1.36307,0.427093,0.770987,0.504492,-0.273077,0.691994,-0.583252,0.197552,-0.174103,0.609817,0.790187,0.293553,0.112645,0.809146,0.427155,0.623859,0.116023,0.092736,-0.964657,-0.094128,-0.595169,0.233411,-0.962269,0.667886,-0.496347,0,0.927051,0.277098,-0.467949,-0.189455,0.273743,0.243674,11@42@11/02@42/01@11/02/01@11/02/02@11/02/03@11/02/03/01
-0.387275,0.883828,-0.24316,0.179975,-0.855879,0.657373,-0.559762,-0.973869,-0.254696,1.841731,-0.657198,1.049749,0.036815,-0.125962,-1.798416,0.95684,0.354183,0.990227,0.059917,0.016579,0.781333,0.490697,-0.249489,-0.648333,0.511629,-1.189096,-0.355788,-1.563523,-0.628462,-1.442133,-0.839101,-0.484509,0.049555,-0.855941,-2.031215,-0.471251,1.001135,1.505321,0.614922,-0.909067,-1.468921,-0.190417,1.115564,0.55287,1.271271,0.987044,0.807043,0.362288,-0.432521,-0.177431,0.339499,0.589681,0.600406,-1.210648,2.139308,-0.479091,0.910294,1.524308,-0.799747,-0.32666,0.074676,-0.05227,-0.274798,-0.128496,0.267298,-0.804671,-0.210852,0.113963,-1.253074,-0.52751,0.14998,0.096936,-2.569928,2.462303,-1.162997,-1.212398,-1.280084,0.22678,0.389718,11@18@34@41@11/02@18/02@34/11@41/01@11/02/03@18/02/09@34/11/03@41/01/01@11/02/03/01@11/02/03/04@34/11/03/07
-0.387275,0.16292,-0.555497,-0.544502,-0.799898,-0.960288,-1.147964,-0.513315,-0.072631,-0.452839,0.994784,0.293846,-0.427508,-0.051568,-0.165309,0.486397,-1.445081,0.010128,-0.30048,0.380933,-0.182479,0.133978,-0.507258,-0.425002,0.11751,0.579004,0.836442,1.64129,0.381993,1.275335,1.223968,0.421062,-0.583197,-0.962944,-1.376976,-0.749481,-0.452296,0.237536,0.270979,-0.391882,0.312246,-0.333396,-0.382547,-0.096683,0.370139,-0.279597,-0.043594,-0.054705,-0.471011,0,0.209241,0.238558,0,-0.698825,-0.394221,1.68355,0.654005,1.187836,-0.592907,0.123628,-0.3347,0.02037,0.174531,-0.601233,-1.587424,-0.244721,0.119867,-0.077694,0.233411,-1.445335,-1.10555,-1.2414,0.020177,0.103258,-1.382142,-0.668378,-0.4869,-0.759433,-0.350931,01@02@14@01/05@02/19@14/07@14/13@01/05/25@14/07/11
0.232676,-1.013298,0.002248,0.059229,0.907519,0.95694,-0.500941,-0.973869,-0.102975,0.041376,1.572977,0.6538,-0.84962,-0.16316,1.036411,0.674574,0.827673,1.445273,-0.05541,-0.803217,-0.733229,-0.324661,-1.770323,-2.162027,-2.359814,-1.525877,-1.181178,-0.668485,0,-0.297936,-0.103985,-0.703095,0.049555,0.249759,-0.241678,-0.248667,0.008548,0.388913,0.351907,-1.062307,-0.254489,-0.333396,-0.694654,-0.044017,-0.219693,0.466816,-0.605015,0.529085,0.208982,0.280041,0.313447,0.459264,0.702171,-0.10445,0.400974,0.338831,0.291665,0.446068,-0.74065,0.112645,-0.286538,-0.037742,0.501315,-0.144797,-0.060006,-0.504698,-0.677748,0.133129,0.598021,-0.865656,-0.148209,-0.054834,0.338959,0.140703,-0.129885,0.2765,-0.015946,-0.054995,0.494035,10@14@16@20@42@10/03@14/07@14/10@14/13@16/01@16/19@20/09@42/10@10/03/01@10/03/04@14/07/05@14/13/01@16/19/03@20/09/01@10/03/01/01@10/03/04/07@14/13/01/01@10/03/01/01/11
-0.903901,0.978684,-0.287779,-0.737696,0.431682,-0.031631,0.469593,-0.267685,0.71632,-0.594044,-1.04266,-0.390066,-0.216452,-0.125962,0.296891,-0.203587,0.259485,-0.514925,0.189661,-0.598268,0.395808,-0.630421,-1.022795,-1.640919,-0.727032,-0.655859,0.653022,-0.46638,-1.481034,1.046495,0.749699,-0.141016,-0.006276,-0.124752,-0.049255,2.422343,-1.675305,-0.084141,-0.33598,1.370379,0.8385,-0.1368,-0.132862,0,-2.595405,0.873951,-0.724104,-2.181368,0.747845,0.090358,0.895266,0.960868,0.875172,0.308311,0.43796,1.586508,1.042858,0.629598,-0.29742,1.134029,0.291405,0.645075,1.114035,-0.1774,-0.40913,-0.244721,-0.677748,-0.346014,-0.159245,0.317856,-0.446397,0.93857,0.578045,-0.68309,-0.223804,0.2765,0,0.332446,0,11@34@11/02@34/11@11/02/03@34/11/03@11/02/03/04
