@relation 'gasch2.train'

@attribute "des460_plus_0point02__mms___5_min" numeric 
@attribute "des460_plus_0point02__mms___15_min" numeric 
@attribute "des460_plus_0point02__mms___30_min" numeric 
@attribute "des460_plus_0point2__mms___45_min" numeric 
@attribute "des460_plus_0point02__mms___60_min" numeric 
@attribute "des460_plus_0point02__mms___90_min" numeric 
@attribute "des460_plus_0point02__mms___120_min" numeric 
@attribute "des459_mec1__plus_0point02__mms___5_min" numeric 
@attribute "des459_mec1__plus_0point02__mms___15_min" numeric 
@attribute "des459_mec1__plus_0point02__mms___30_min" numeric 
@attribute "des459_mec1__plus_0point02__mms___45_min" numeric 
@attribute "des459_mec1__plus_0point02__mms___60_min" numeric 
@attribute "des459_mec1__plus_0point02__mms___90_min" numeric 
@attribute "des459_mec1__plus_0point02__mms___120_min" numeric 
@attribute "dun1__plus_0point02__mms___30_min" numeric 
@attribute "dun1__plus_0point02__mms___90_min" numeric 
@attribute "dun1__plus_0point02__mms___120_min" numeric 
@attribute "wt_plus_gamma_5_min" numeric 
@attribute "wt_plus_gamma_10_min" numeric 
@attribute "wt_plus_gamma_20_min" numeric 
@attribute "wt_plus_gamma_30_min" numeric 
@attribute "wt_plus_gamma_45_min" numeric 
@attribute "wt_plus_gamma_60_min" numeric 
@attribute "wt_plus_gamma_90_min" numeric 
@attribute "wt_plus_gamma_120_min" numeric 
@attribute "des460_wt___mock_irradiation___5_min" numeric 
@attribute "des460_wt___mock_irradiation___30_min" numeric 
@attribute "des460_wt___mock_irradiation___60_min" numeric 
@attribute "des460_wt___mock_irradiation___90_min" numeric 
@attribute "mec1_plus_gamma_5_min" numeric 
@attribute "mec1_plus_gamma_10_min" numeric 
@attribute "mec1_plus_gamma_20_min" numeric 
@attribute "mec1_plus_gamma_30_min" numeric 
@attribute "mec1_plus_gamma_45_min" numeric 
@attribute "mec1_plus_gamma_60_min" numeric 
@attribute "mec1_plus_gamma_90_min" numeric 
@attribute "mec1_plus_gamma_120_min" numeric 
@attribute "des459_mec1___mock_irradiation___5_min" numeric 
@attribute "des459_mec1___mock_irradiation___30_min" numeric 
@attribute "des459_mec1___mock_irradiation___60_min" numeric 
@attribute "des460_wild_type_plus_heat_20_min" numeric 
@attribute "des459_mec1_plus_heat_20_min" numeric 
@attribute "mhy1_dun1_plus_heat_20_min" numeric 
@attribute "des460_vs_des460_ypd_log_phase_control" numeric 
@attribute "des459_mec1___log_phase_ir_time_._0_sample" numeric 
@attribute "des459_mec1___log_phase_mms_time_._0_sample" numeric 
@attribute "des460wt_vs_des459mec1_genomic_dna_comparison" numeric 
@attribute "des460wt_vs_des459mec1_genomic_dna_comparison_.2" numeric 
@attribute "des460_genomic_dna_vs_mhy26_dun1_genomic_dna" numeric 
@attribute "mhy1_crt1_vs_cry1_wild_type" numeric 
@attribute "mhy1_crt1_vs_cry1_wild_type___log_phase" numeric 
@attribute "prs_rox1_gal_media" numeric 
@attribute class hierarchical 01,02,10,11,12,14,16,18,20,30,32,34,38,40,41,42,43,99,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/20,01/25,02/01,02/04,02/07,02/08,02/10,02/11,02/13,02/16,02/19,02/25,02/45,10/01,10/03,11/02,11/04,11/06,12/01,12/04,12/07,12/10,14/01,14/04,14/07,14/10,14/13,16/01,16/02,16/03,16/06,16/07,16/09,16/11,16/13,16/17,16/19,16/21,18/01,18/02,20/01,20/03,20/09,30/01,30/05,32/01,32/05,32/07,32/10,34/01,34/07,34/11,38/07,40/01,40/10,40/20,41/01,42/01,42/02,42/03,42/04,42/05,42/07,42/08,42/09,42/10,42/16,42/19,42/22,42/25,42/27,42/29,43/01,01/01/03,01/01/05,01/01/06,01/01/09,01/01/11,01/01/13,01/02/02,01/02/03,01/02/07,01/03/01,01/03/04,01/03/07,01/03/10,01/03/13,01/03/16,01/04/04,01/05/02,01/05/03,01/05/05,01/05/06,01/05/09,01/05/11,01/05/13,01/05/25,01/06/02,01/06/05,01/06/06,01/06/10,01/07/01,01/07/03,01/07/04,01/07/07,01/20/01,01/20/05,01/20/15,01/20/17,01/20/19,01/20/27,01/20/31,01/20/33,01/20/37,01/25/01,02/01/01,02/01/03,02/07/01,02/11/05,02/13/01,02/13/03,02/13/05,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/45/11,02/45/15,10/01/02,10/01/03,10/01/05,10/01/09,10/01/11,10/03/01,10/03/02,10/03/03,10/03/04,10/03/05,11/02/01,11/02/02,11/02/03,11/04/01,11/04/02,11/04/03,11/06/01,11/06/02,11/06/03,12/01/01,12/04/01,12/04/02,12/04/03,14/07/01,14/07/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/13/01,14/13/04,16/03/01,16/03/03,16/13/01,16/13/03,16/17/01,16/17/07,16/17/09,16/19/01,16/19/03,16/19/05,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18/01/01,18/01/07,18/02/01,18/02/03,18/02/05,18/02/09,20/01/01,20/01/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03/01,20/03/02,20/03/22,20/03/25,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/13,20/09/14,20/09/16,20/09/18,30/01/05,30/01/09,30/05/01,30/05/02,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05/01,32/05/05,32/07/01,32/07/03,32/07/05,32/07/07,32/10/03,34/01/01,34/01/03,34/07/01,34/07/02,34/11/03,34/11/09,34/11/11,34/11/12,40/01/03,40/01/05,40/10/02,41/01/01,42/04/03,42/04/05,42/10/03,42/10/05,42/10/07,42/27/03,43/01/03,01/01/03/01,01/01/03/02,01/01/03/03,01/01/03/05,01/01/05/01,01/01/05/03,01/01/06/01,01/01/06/02,01/01/06/04,01/01/06/05,01/01/06/06,01/01/09/01,01/01/09/02,01/01/09/03,01/01/09/04,01/01/09/05,01/01/09/06,01/01/09/07,01/01/11/01,01/01/11/02,01/01/11/03,01/01/11/04,01/02/02/09,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07/01,01/02/07/03,01/03/01/01,01/03/01/03,01/03/04/01,01/03/04/03,01/03/16/01,01/03/16/03,01/05/02/04,01/05/02/07,01/05/03/01,01/05/03/02,01/05/03/03,01/05/05/04,01/05/05/07,01/05/06/07,01/05/09/04,01/05/09/07,01/05/11/04,01/05/11/07,01/05/13/01,01/05/13/03,01/06/02/01,01/06/02/02,01/06/06/09,01/06/06/11,01/20/01/01,01/20/01/07,01/20/05/09,01/20/15/03,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19/01,01/20/19/05,01/20/37/01,10/01/03/03,10/01/03/05,10/01/05/01,10/01/05/03,10/01/09/03,10/01/09/05,10/03/01/01,10/03/01/02,10/03/01/03,10/03/02/01,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05/01,10/03/05/03,11/02/03/01,11/02/03/04,11/04/03/01,11/04/03/03,11/04/03/05,11/04/03/11,14/07/02/01,14/07/02/02,14/07/11/01,14/13/01/01,14/13/04/02,18/02/01/01,18/02/01/02,20/01/01/01,20/01/01/07,20/01/03/01,20/01/03/03,20/03/01/01,20/03/01/05,20/03/02/02,20/03/02/03,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/14/02,20/09/16/09,20/09/18/09,30/01/05/01,30/01/05/05,30/01/05/07,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05/01/10,30/05/02/24,32/05/01/01,32/05/01/03,32/05/01/07,32/05/05/01,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,34/01/01/01,34/01/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/11/03/07,34/11/03/11,34/11/03/13,40/01/03/01,40/01/05/01,40/10/02/01,40/10/02/02,40/10/02/03,43/01/03/05,43/01/03/06,43/01/03/09,01/01/03/01/01,01/01/03/01/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03/01,01/01/03/03/02,01/01/03/05/01,01/01/03/05/02,01/01/05/01/01,01/01/05/01/02,01/01/06/01/01,01/01/06/01/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04/01,01/01/06/04/02,01/01/06/05/01,01/01/06/06/01,01/01/06/06/02,01/01/09/01/01,01/01/09/01/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03/01,01/01/09/04/01,01/01/09/04/02,01/01/09/05/01,01/01/09/06/01,01/01/09/06/02,01/01/09/07/01,01/01/11/02/01,01/01/11/02/02,01/01/11/03/01,01/01/11/03/02,01/01/11/04/01,01/01/11/04/02,01/02/02/09/01,01/02/02/09/05,01/05/03/01/04,01/05/03/02/04,01/05/03/03/04,01/05/11/07/01,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04/01,11/02/03/04/03,11/04/03/01/10,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,20/01/01/01/01,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/03/02/02/01,20/03/02/02/02,20/03/02/03/01,20/09/16/09/03,20/09/18/09/01,30/01/05/01/03,30/01/05/05/01,32/05/01/03/03,40/10/02/02/01,40/10/02/03/02,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06/01/03,20/01/01/01/01/01

@data
0.627299,0.45297,0.835728,1.304914,0.89284,1.287329,1.387204,0.401427,0.146183,0.113095,0.854495,0.424156,0.648659,0.982974,0.911909,1.385555,1.256205,1.302724,1.070649,0.930038,0.649314,-0.68764,-0.952915,-0.84745,-0.192097,1.238471,-0.393026,-0.43024,-0.878303,0.784769,0.502622,0.545665,0.05756,-0.795652,-0.456688,-0.588868,0.426534,-0.348144,-0.767578,-1.16358,1.249249,1.245698,1.066622,-0.829629,-0.559143,-0.04264,-0.255094,1.142468,0.182202,-0.68457,-0.148349,-1.561058,01@32@01/04@01/05@32/01
0,1.125657,1.163774,0.454953,0.694673,0.318793,0.209419,-0.685188,-0.470361,-0.186821,-0.521892,-0.2043,0.080245,0.001835,-0.435617,-0.669939,-0.782897,1.404543,2.162912,1.31117,1.529734,0.399636,0.985056,0.310977,0.156058,1.192878,0.959454,1.156358,1.347521,0.713212,0.238244,0.308637,0.291346,-1.05556,0,-0.923488,-1.541192,1.041222,1.995187,1.396976,0.139975,-0.139656,-0.295105,0.551752,1.10855,-0.025818,0.529883,-0.340804,0.037739,2.189086,1.050136,0.033771,16@20@32@34@16/19@20/01@20/03@32/01@32/05@32/07@34/01@16/19/03@20/01/01@20/01/13@20/01/27@20/03/22@20/03/25@32/01/01@32/05/01@34/01/01@20/01/01/01@32/05/01/03@34/01/01/01
-0.976695,-0.697744,-0.071459,-0.532941,-0.442948,-0.10825,-0.292477,-0.859046,-1.194004,-1.070501,-1.219317,-1.378578,-1.613851,-0.729303,-0.928126,-1.214103,-1.034558,0.240895,-0.525211,0.782868,0.771478,0.134447,2.184653,1.403785,1.4899,0.125038,1.055136,1.117231,0,0.280541,0.38719,1.493775,0.314493,2.883433,1.440431,1.668298,1.614289,0.990724,2.377885,0.453613,-0.284063,0.460332,0,-0.722303,-0.784707,1.569203,-0.421209,-0.898012,1.33557,0,0.665853,2.279802,01@02@42@01/05@01/07@02/16@02/45@42/01@01/05/06@01/07/01@02/16/13@01/05/06/07
-4.583307,0.435722,0.515783,0.361755,0.914858,0.745837,1.163023,-2.922166,-1.888702,-0.293934,-1.506492,-1.617782,-1.257199,-1.248174,-1.050629,-0.538149,-3.813588,0.895447,1.125092,0.782868,0.39235,0.001852,1.129835,1.497165,2.145518,0.84733,1.101684,2.285171,1.950401,0.180694,-0.003793,0.059135,-0.912306,-0.346491,-0.494885,-0.248163,1.258286,1.284156,1.91655,1.993388,0.060195,1.225765,0.445896,-1.21046,-0.77916,-0.931142,-0.056407,0.38906,1.36353,2.422959,-1.255567,1.643345,01@43@01/05@01/06@01/07@43/01@01/06/10@43/01/03@43/01/03/06
-0.345537,0.226277,-0.535178,0,0.164395,-0.231239,-0.163657,-0.317187,-0.235901,-0.949999,-0.768042,-0.502219,-0.521605,-0.830718,-0.745623,-0.559406,-0.548443,-1.650033,-0.339765,1.648905,-0.909323,-0.661121,-0.212474,-0.887831,-0.024802,0.127437,1.975753,1.355905,1.36024,0.734845,0.195422,0.911602,1.045942,0.163231,0.566992,-0.327256,-0.00067,0.261922,1.25076,1.600559,1.018651,0.801189,0.698887,0.610608,1.239821,0,1.350688,-2.510776,-0.735833,0.676374,-0.789623,-0.317632,01@30@42@43@01/04@01/06@30/01@42/04@43/01@01/06/02@30/01/09@42/04/03@43/01/03@01/06/02/01@30/01/09/11@43/01/03/05@43/01/03/09
-0.748909,0.268166,2.352433,0.989906,1.059813,1.582843,1.516024,0.896924,1.298223,1.318112,1.652431,1.58756,1.406544,1.299014,0.711905,0.620325,0.696957,0.891083,1.380294,1.709283,1.487609,1.312329,1.551762,0.222644,1.139484,1.051299,0.038837,0,0.510611,0.859654,1.066754,0.99477,1.268155,0.06482,0.319985,0.043869,1.274468,-0.561052,-0.274789,-0.79369,0.500626,0.582921,0.181845,-0.476494,0.232179,0.345793,-1.036813,0.177164,-0.850005,-1.338917,-1.032202,1.132213,10@14@40@42@10/01@10/03@14/13@40/20@42/16@10/01/03@10/03/01
0.067325,-0.917044,-0.806524,-1.714685,-1.718185,-1.365467,-1.108896,-1.012621,-1.327155,-0.949999,-1.090088,-1.037167,-0.826988,-1.167985,-1.12313,0.074035,-1.277616,-0.450021,-0.419728,-0.545432,-0.349056,-0.022457,0.242546,0.570929,1.042272,0.84253,1.993856,1.77652,1.057528,-0.456663,0.320164,0.316954,0.272828,0.667907,0.258869,0.056037,-0.628529,1.033033,2.273036,2.27439,-0.279691,-0.321048,-0.560539,0.347488,0.117549,0.234156,-0.522181,0.353744,-0.605351,2.903146,0.060605,-0.31026,01@11@14@16@20@40@01/03@11/04@14/04@16/03@20/01@40/20@01/03/16@16/03/03@20/01/10@01/03/16/01
-0.748909,-0.404521,0.054089,-0.204886,-0.158543,0.127478,-0.120159,0.769428,0.780095,0.378199,0.321171,0.139285,0.802465,0.600896,-0.170612,0.159061,0.13771,0.363078,0.088974,-0.303923,-0.441732,-0.053396,0.401803,0.101501,0.246488,-0.56126,-0.75248,0.197748,0.070534,0.358755,0.186113,-0.348387,-0.032714,0.587159,0.370914,0.962553,-0.521729,-0.914535,-0.552638,0.037846,-0.361657,-0.174539,-0.42091,0.382109,-0.995479,-0.180274,-0.779497,-0.128908,-0.936216,-0.82141,-0.489401,1.4615,01@14@40@01/06@14/04@40/10@40/20@01/06/02@01/06/02/02
0,-0.335527,-1.156845,-0.710016,-0.609922,-0.321772,0.319837,0,-2.482089,-0.11452,-1.207009,-1.530799,-0.8203,0.096175,-4.025686,0,0,-1.046391,-0.783815,-0.690715,-0.269018,-0.234609,0.002627,1.547642,0.565254,-0.923606,0.424151,0.039283,-1.109789,-2.313819,-2.550765,-2.966086,-2.599732,-2.423231,-1.770666,-1.802626,-1.625338,1.053505,0.275667,-0.664659,-0.004285,0.101535,-0.069764,-0.549198,-0.934466,-0.365315,0.021765,0.699056,0.72044,-0.570121,-0.751194,-0.713267,10@32@40@42@10/03@32/01@40/10@42/16@10/03/01
0.94525,0.211493,0.748655,0.563062,0.395589,0.194097,0.826753,0.444892,0.580369,0.702214,0.63296,0.141459,0.619681,0.343818,-0.09311,0.337614,0.361409,0.459079,-0.288724,0.403623,0.417625,0.335548,0.403871,-0.135737,1.433382,0.77534,0.788778,1.320691,0.77771,0.854662,0.642259,0.364775,0.434858,0.869777,0.910765,0.445413,0.520389,0.968888,0.695062,1.038556,0.279864,0.809162,0.921463,0.562139,0.126793,0.042998,-0.720868,0.05552,0.69947,1.039624,0.35122,1.1445,40@42@40/10@40/20@42/01
-1.603106,0.162212,0.090538,0.393442,0.443296,0.838079,0.815042,-0.233156,-1.249001,-0.023474,0.066816,-0.404362,-0.00446,0.523065,-0.513118,0.025145,0.15922,0.013983,0,0.497963,0.878898,0.021741,0.002627,1.070642,1.279651,0.185029,0.6,-0.031145,-1.697406,-0.692968,-1.506283,-1.452436,-1.560425,-1.164065,-1.044922,-1.394998,-1.003951,0.559448,-0.647002,0.09806,0.617564,0.452359,0.210877,0.620994,1.017955,-2.697442,0.09668,0,-0.377007,0,-1.438102,-0.472446,20@20/01@20/09@20/01/23@20/09/18
-2.647125,0.164676,0.758779,1.235948,0.786417,0.67751,1.37382,0.085585,-0.441415,0.214852,0.688344,2.507411,2.737301,2.999498,0.98691,2.467506,2.439228,1.564544,1.040025,1.57532,1.613985,1.020621,1.977826,1.118595,1.422078,0.97691,0.778434,0.217311,0.508067,-0.243656,0.685081,0.953186,1.779706,1.646978,1.54229,1.65613,0.630427,0.945686,1.130184,0.135336,2.023009,2.487534,2.453234,0.02205,-0.302148,0,0.562454,-0.340804,0.941794,-0.497969,-0.698355,1.81536,01@01/01@01/05@01/07@01/01/09@01/05/05@01/01/09/01@01/05/05/07@01/01/09/01/02
1.899104,1.879658,2.413182,3.323572,3.445149,3.350804,3.112056,0.978058,0.426957,1.312757,2.015502,3.214152,3.916481,3.787239,3.54946,4.42522,4.284744,-0.806388,0.778018,1.611169,0.219636,0.282511,1.1712,0.553262,1.159831,1.324858,1.435279,1.438072,-0.883391,0.66828,0.42815,0,0,0,0,0,1.546325,0.672726,1.321533,0.295908,2.833926,1.749011,0.270323,1.372272,0,0,2.161722,-2.561788,1.097906,-2.91383,-0.727177,0.999515,01@01/01@01/05@01/07@01/01/09@01/05/05@01/01/09/01@01/05/05/07@01/01/09/01/02
1.780465,-0.054625,0.248486,-0.147103,-0.186066,0.047194,0.251244,-0.047707,0.30249,0.378199,-0.55061,-0.837105,-0.256345,0.133911,0.341898,0.371625,0.651788,-0.282747,-0.331258,0.069661,-0.23953,0.55212,1.216702,0.621405,1.485379,-0.311697,1.329253,0.385557,0.365615,0.079183,-0.504623,0.088243,0.559852,0.789029,0.750338,0.308523,0.831083,0.099511,-0.306244,-0.122727,-0.580234,-0.498453,-0.481738,-0.220298,0.208144,0.566007,-0.450523,-0.105364,-0.036822,0.41762,0.233533,1.584368,01@11@16@01/01@11/02@16/03@01/01/13@11/02/03@16/03/01@11/02/03/04@11/02/03/04/01
0.057834,0.470218,0.414534,-0.868452,-0.125515,0.159933,0.681203,0.375349,0.282228,0.233596,0.183737,-0.541361,0.02006,0.466461,-0.188112,1.874452,1.90149,-0.002017,0.162132,-0.130338,-0.544939,-0.053396,0.430759,0.081311,0.911148,0.115439,0.106073,-0.588704,-0.112619,1.032722,0.820994,1.757832,-0.254927,1.286135,0.877661,2.106346,1.248577,0.390213,-0.303623,-0.128461,-0.460017,-0.268225,-0.350404,-0.677296,-0.54805,-0.233798,-0.440752,0.416528,-0.211575,-0.915955,-0.112322,1.294399,02@16@20@02/11@02/13@16/21@20/01@16/21/05@20/01/15
