@relation 'pheno.train'

@attribute "x2.deoxyglucose.n" numeric 
@attribute "x2.deoxyglucose.r" numeric 
@attribute "x6.azauracil.n" numeric 
@attribute "x6.azauracil.s" numeric 
@attribute "x8.hydroxyquinoline.n" numeric 
@attribute "x8.hydroxyquinoline.s" numeric 
@attribute "bcip.w" numeric 
@attribute "bcip.n" numeric 
@attribute "bcip.s" numeric 
@attribute "cscl.n" numeric 
@attribute "cscl.s" numeric 
@attribute "dl.p.fluorophenyl.alanine.n" numeric 
@attribute "dl.p.fluorophenyl.alanine.s" numeric 
@attribute "egta.w" numeric 
@attribute "egta.n" numeric 
@attribute "egta.s" numeric 
@attribute "fk506.n" numeric 
@attribute "fk506.s" numeric 
@attribute "fk506.r" numeric 
@attribute "licl.n" numeric 
@attribute "licl.s" numeric 
@attribute "licl.r" numeric 
@attribute "mms.w" numeric 
@attribute "mms.n" numeric 
@attribute "mms.s" numeric 
@attribute "naf.n" numeric 
@attribute "naf.s" numeric 
@attribute "rbcl.n" numeric 
@attribute "rbcl.s" numeric 
@attribute "sd.w" numeric 
@attribute "sd.n" numeric 
@attribute "sd.s" numeric 
@attribute "sd.r" numeric 
@attribute "sds.w" numeric 
@attribute "sds.n" numeric 
@attribute "sds.s" numeric 
@attribute "ypd.w" numeric 
@attribute "ypd.n" numeric 
@attribute "ypd.s" numeric 
@attribute "ypd.r" numeric 
@attribute "ypg.w" numeric 
@attribute "ypg.n" numeric 
@attribute "ypg.s" numeric 
@attribute "ypg.r" numeric 
@attribute "ypglyc.w" numeric 
@attribute "ypglyc.n" numeric 
@attribute "ypglyc.s" numeric 
@attribute "allylglycine.n" numeric 
@attribute "allylglycine.r" numeric 
@attribute "aminotriazole.n" numeric 
@attribute "aminotriazole.s" numeric 
@attribute "benomyl.w" numeric 
@attribute "benomyl.n" numeric 
@attribute "benomyl.s" numeric 
@attribute "beta.2.thienyl.dl.alanine.n" numeric 
@attribute "beta.2.thienyl.dl.alanine.s" numeric 
@attribute "caffeine.w" numeric 
@attribute "caffeine.n" numeric 
@attribute "caffeine.s" numeric 
@attribute "caffeine.r" numeric 
@attribute "calcofluor_white.w" numeric 
@attribute "calcofluor_white.n" numeric 
@attribute "calcofluor_white.s" numeric 
@attribute "calcofluor_white.r" numeric 
@attribute "camptothecin.n" numeric 
@attribute "camptothecin.r" numeric 
@attribute "canavanine.n" numeric 
@attribute "canavanine.s" numeric 
@attribute "canavanine.r" numeric 
@attribute "cobalt_chloride.n" numeric 
@attribute "cobalt_chloride.s" numeric 
@attribute "cycloheximide.w" numeric 
@attribute "cycloheximide.n" numeric 
@attribute "cycloheximide.s" numeric 
@attribute "cycloheximide.r" numeric 
@attribute "cyclosporin.a.n" numeric 
@attribute "cyclosporin.a.s" numeric 
@attribute "cyclosporin.a.r" numeric 
@attribute "d.histidine.n" numeric 
@attribute "d.histidine.r" numeric 
@attribute "daunomycin.n" numeric 
@attribute "daunomycin.s" numeric 
@attribute "diamide.n" numeric 
@attribute "diamide.s" numeric 
@attribute "diamide.r" numeric 
@attribute "diazaborine.n" numeric 
@attribute "diazaborine.r" numeric 
@attribute "ethanol.n" numeric 
@attribute "ethanol.s" numeric 
@attribute "ethanol.glucose.n" numeric 
@attribute "ethanol.glucose.s" numeric 
@attribute "fenpropimorph.n" numeric 
@attribute "fenpropimorph.r" numeric 
@attribute "fluorocytosine.n" numeric 
@attribute "fluorocytosine.s" numeric 
@attribute "formaldehyde.n" numeric 
@attribute "formaldehyde.s" numeric 
@attribute "formamide.n" numeric 
@attribute "formamide.s" numeric 
@attribute "h2o2.n" numeric 
@attribute "h2o2.s" numeric 
@attribute "hydroxyurea.w" numeric 
@attribute "hydroxyurea.n" numeric 
@attribute "hydroxyurea.s" numeric 
@attribute "hygromycin_b.w" numeric 
@attribute "hygromycin_b.n" numeric 
@attribute "hygromycin_b.s" numeric 
@attribute "hygromycin_b.r" numeric 
@attribute "lovostatin.n" numeric 
@attribute "lovostatin.r" numeric 
@attribute "manganese_chloride.n" numeric 
@attribute "manganese_chloride.s" numeric 
@attribute "menadione.n" numeric 
@attribute "menadione.s" numeric 
@attribute "methylamine.n" numeric 
@attribute "methylamine.r" numeric 
@attribute "methylene_blue.w" numeric 
@attribute "methylene_blue.n" numeric 
@attribute "methylene_blue.s" numeric 
@attribute "mevinolin.n" numeric 
@attribute "mevinolin.r" numeric 
@attribute "microcystin.n" numeric 
@attribute "microcystin.s" numeric 
@attribute "neomycin.n" numeric 
@attribute "neomycin.s" numeric 
@attribute "nocodazole.n" numeric 
@attribute "nocodazole.s" numeric 
@attribute "nystatin.n" numeric 
@attribute "nystatin.s" numeric 
@attribute "nystatin.r" numeric 
@attribute "oligomycin.n" numeric 
@attribute "oligomycin.s" numeric 
@attribute "oligomycin.r" numeric 
@attribute "papulacandin_b.n" numeric 
@attribute "papulacandin_b.s" numeric 
@attribute "papulacandin_b.r" numeric 
@attribute "paraquat.n" numeric 
@attribute "paraquat.s" numeric 
@attribute "paromomycin.n" numeric 
@attribute "paromomycin.s" numeric 
@attribute "paromomycin.r" numeric 
@attribute "potassium_chloride.n" numeric 
@attribute "potassium_chloride.s" numeric 
@attribute "rapamycin.n" numeric 
@attribute "rapamycin.s" numeric 
@attribute "rapamycin.r" numeric 
@attribute "sodium_chloride.w" numeric 
@attribute "sodium_chloride.n" numeric 
@attribute "sodium_chloride.s" numeric 
@attribute "sorbitol.n" numeric 
@attribute "sorbitol.s" numeric 
@attribute "staurosporine.n" numeric 
@attribute "staurosporine.s" numeric 
@attribute "thiabendazole.n" numeric 
@attribute "thiabendazole.s" numeric 
@attribute "trifluoperazine.n" numeric 
@attribute "trifluoperazine.s" numeric 
@attribute "trifluoperazine.r" numeric 
@attribute "tunicamycin.n" numeric 
@attribute "tunicamycin.s" numeric 
@attribute "tunicamycin.r" numeric 
@attribute "vanadate.n" numeric 
@attribute "vanadate.s" numeric 
@attribute "vanadate.r" numeric 
@attribute "verrucarin.n" numeric 
@attribute "verrucarin.r" numeric 
@attribute "zinc_chloride.n" numeric 
@attribute "zinc_chloride.s" numeric 
@attribute "zymolyase.n" numeric 
@attribute "zymolyase.s" numeric 
@attribute class hierarchical 01,02,10,11,12,14,16,18,20,30,32,34,38,40,41,42,43,99,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/20,01/25,02/01,02/04,02/07,02/08,02/10,02/11,02/13,02/16,02/19,02/25,02/45,10/01,10/03,11/02,11/04,11/06,12/01,12/04,12/07,12/10,14/01,14/04,14/07,14/10,14/13,16/01,16/03,16/06,16/07,16/09,16/11,16/13,16/17,16/19,16/21,18/01,18/02,20/01,20/03,20/09,30/01,30/05,32/01,32/05,32/07,34/01,34/07,34/11,38/07,40/01,40/10,40/20,41/01,42/01,42/04,42/07,42/08,42/09,42/10,42/16,42/19,42/22,42/25,42/29,43/01,01/01/03,01/01/05,01/01/06,01/01/09,01/01/11,01/01/13,01/02/02,01/02/03,01/02/07,01/03/01,01/03/04,01/03/07,01/03/10,01/03/13,01/03/16,01/04/04,01/05/02,01/05/03,01/05/05,01/05/06,01/05/09,01/05/11,01/05/13,01/05/25,01/06/02,01/06/05,01/06/06,01/06/10,01/07/01,01/07/03,01/07/04,01/07/07,01/20/01,01/20/05,01/20/15,01/20/17,01/20/19,01/20/27,01/20/31,01/20/37,01/25/01,02/01/01,02/01/03,02/13/01,02/13/03,02/13/05,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/45/11,02/45/15,10/01/02,10/01/03,10/01/05,10/01/09,10/01/11,10/03/01,10/03/02,10/03/03,10/03/04,10/03/05,11/02/01,11/02/02,11/02/03,11/04/01,11/04/02,11/04/03,11/06/01,11/06/02,12/01/01,12/04/01,12/04/02,12/04/03,14/07/01,14/07/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/13/01,14/13/04,16/03/01,16/03/03,16/13/01,16/17/01,16/17/07,16/17/09,16/19/01,16/19/03,16/19/05,16/21/05,16/21/07,16/21/08,16/21/15,16/21/17,18/01/01,18/01/07,18/02/01,18/02/03,18/02/05,18/02/09,20/01/01,20/01/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/27,20/03/01,20/03/02,20/03/22,20/03/25,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/13,20/09/14,20/09/16,20/09/18,30/01/05,30/01/09,30/05/01,30/05/02,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/05/01,32/05/05,32/07/01,32/07/03,32/07/05,32/07/07,34/01/01,34/01/03,34/11/03,34/11/09,34/11/11,34/11/12,40/01/03,40/01/05,40/10/02,41/01/01,42/04/03,42/04/05,42/10/03,42/10/05,42/10/07,43/01/03,01/01/03/01,01/01/03/02,01/01/03/03,01/01/03/05,01/01/05/01,01/01/05/03,01/01/06/01,01/01/06/02,01/01/06/04,01/01/06/05,01/01/06/06,01/01/09/01,01/01/09/02,01/01/09/03,01/01/09/04,01/01/09/05,01/01/09/06,01/01/09/07,01/01/11/01,01/01/11/02,01/01/11/03,01/01/11/04,01/02/02/09,01/02/03/01,01/02/07/01,01/03/01/03,01/03/04/03,01/03/16/01,01/03/16/03,01/05/02/04,01/05/02/07,01/05/03/01,01/05/03/02,01/05/03/03,01/05/05/04,01/05/05/07,01/05/06/07,01/05/09/04,01/05/09/07,01/05/11/04,01/05/13/01,01/05/13/03,01/06/02/01,01/06/02/02,01/06/06/09,01/06/06/11,01/20/01/01,01/20/01/07,01/20/05/09,01/20/15/03,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19/01,01/20/37/01,10/01/03/03,10/01/03/05,10/01/05/01,10/01/05/03,10/01/09/03,10/01/09/05,10/03/01/01,10/03/01/02,10/03/01/03,10/03/02/01,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05/01,10/03/05/03,11/02/03/01,11/02/03/04,11/04/03/01,11/04/03/03,11/04/03/05,11/04/03/11,14/07/02/01,14/07/02/02,14/07/11/01,14/13/01/01,14/13/04/02,18/02/01/01,18/02/01/02,20/01/01/01,20/01/01/07,20/01/03/01,20/01/03/03,20/03/01/01,20/03/01/05,20/03/02/03,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/16/09,20/09/18/09,30/01/05/01,30/01/05/05,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05/01/10,30/05/02/24,32/05/01/01,32/05/01/03,32/05/05/01,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,34/01/01/01,34/01/01/03,34/01/03/01,34/01/03/03,34/11/03/07,34/11/03/11,34/11/03/13,40/01/03/01,40/01/05/01,40/10/02/01,40/10/02/02,43/01/03/05,43/01/03/06,43/01/03/09,01/01/03/01/01,01/01/03/01/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03/02,01/01/03/05/01,01/01/03/05/02,01/01/05/01/01,01/01/05/01/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04/01,01/01/06/04/02,01/01/06/05/01,01/01/06/06/01,01/01/06/06/02,01/01/09/01/01,01/01/09/01/02,01/01/09/02/01,01/01/09/03/01,01/01/09/04/01,01/01/09/05/01,01/01/09/06/01,01/01/09/07/01,01/01/11/02/01,01/01/11/02/02,01/01/11/03/01,01/01/11/03/02,01/01/11/04/01,01/01/11/04/02,01/02/02/09/01,01/02/02/09/05,01/05/03/01/04,01/05/03/02/04,01/05/03/03/04,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/09,10/03/01/01/11,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04/01,11/02/03/04/03,11/04/03/01/10,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,20/01/01/01/01,20/01/01/07/05,20/01/01/07/07,20/03/02/03/01,20/09/16/09/03,20/09/18/09/01,30/01/05/01/03,30/01/05/05/01,32/05/01/03/03,40/10/02/02/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06/01/03,20/01/01/01/01/01

@data
1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,11@11/02@11/02/01@11/02/02@11/02/03@11/02/03/01
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,01@14@16@20@32@01/04@14/01@14/04@16/01@16/19@20/09@32/01@16/19/03@20/09/01@20/09/05@32/01/07
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,10@42@43@10/03@42/10@43/01@10/03/02@43/01/03@43/01/03/09
1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,10@32@10/01@32/01@10/01/05@10/01/05/01
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,20@20/01@20/01/17
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,01@11@16@20@01/04@11/04@16/19@20/01@20/03@20/09@11/04/01@16/19/03@20/01/01@20/01/10@20/01/13@20/03/22@20/09/07@20/01/01/01@20/09/07/06
1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,12@12/04@12/04/01
1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,01@14@01/07@01/20@14/07@14/10@01/07/04@01/20/19@01/20/19/01
1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,11@16@11/02@11/04@16/03@11/02/03@11/04/02@11/04/03@16/03/03@11/02/03/01@11/04/03/01@11/04/03/05@11/02/03/01/07
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,01@02@42@01/05@01/07@02/16@02/45@42/01@01/05/06@01/07/01@02/16/13@01/05/06/07
1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,12@42@12/01@42/01
1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,01@02@42@01/01@01/02@02/10@42/01@01/01/03@01/01/03/02@01/01/03/02/01@01/01/03/02/02
