@relation 'spos.train'

@attribute "t0_green" numeric 
@attribute "t0_green_bkg" numeric 
@attribute "t0_red" numeric 
@attribute "t0_red_bkg" numeric 
@attribute "t0_flag" numeric 
@attribute "t0point5_green" numeric 
@attribute "t0point5_green_bkg" numeric 
@attribute "t0point5_red" numeric 
@attribute "t0point5_red_bkg" numeric 
@attribute "t0point5_flag" numeric 
@attribute "t2_green" numeric 
@attribute "t2_green_bkg" numeric 
@attribute "t2_red" numeric 
@attribute "t2_red_bkg" numeric 
@attribute "t2_flag" numeric 
@attribute "t5_green" numeric 
@attribute "t5_green_bkg" numeric 
@attribute "t5_red" numeric 
@attribute "t5_red_bkg" numeric 
@attribute "t5_flag" numeric 
@attribute "t7_green" numeric 
@attribute "t7_green_bkg" numeric 
@attribute "t7_red" numeric 
@attribute "t7_red_bkg" numeric 
@attribute "t7_flag" numeric 
@attribute "t9_green" numeric 
@attribute "t9_green_bkg" numeric 
@attribute "t9_red" numeric 
@attribute "t9_red_bkg" numeric 
@attribute "t9_flag" numeric 
@attribute "t11point5_green" numeric 
@attribute "t11point5_green_bkg" numeric 
@attribute "t11point5_red" numeric 
@attribute "t11point5_red_bkg" numeric 
@attribute "t11point5_flag" numeric 
@attribute "gal_ndt80_green" numeric 
@attribute "gal_ndt80_green_bkg" numeric 
@attribute "gal_ndt80_red" numeric 
@attribute "gal_ndt80_red_bkg" numeric 
@attribute "ndt80_delete_early_green" numeric 
@attribute "ndt80_delete_early_green_bkg" numeric 
@attribute "ndt80_delete_early_red" numeric 
@attribute "ndt80_delete_early_red_bkg" numeric 
@attribute "ndt80_delete_early_flag" numeric 
@attribute "ndt80_delete_mid_green" numeric 
@attribute "ndt80_delete_mid_green_green_bkg" numeric 
@attribute "ndt80_delete_mid_green_red" numeric 
@attribute "ndt80_delete_mid_green_red_bkg" numeric 
@attribute "ndt80_delete_mid_green_flag" numeric 
@attribute "t0_correlation" numeric 
@attribute "t0point5_correlation" numeric 
@attribute "t2_correlation" numeric 
@attribute "t5_correlation" numeric 
@attribute "t7_correlation" numeric 
@attribute "t9_correlation" numeric 
@attribute "t11point5_correlation" numeric 
@attribute "ndt80_delete_early_correlation" numeric 
@attribute "ndt80_delete_mid_correlation" numeric 
@attribute "t0_regression" numeric 
@attribute "t0point5_regression" numeric 
@attribute "t2_regression" numeric 
@attribute "t5_regression" numeric 
@attribute "t7_regression" numeric 
@attribute "t9_regression" numeric 
@attribute "t11point5_regression" numeric 
@attribute "ndt80_delete_early_regression" numeric 
@attribute "ndt80_delete_mid_regression" numeric 
@attribute "t0_g.r_ratio" numeric 
@attribute "t0point5_g.r_ratio" numeric 
@attribute "t2_g.r_ratio" numeric 
@attribute "t5_g.r_ratio" numeric 
@attribute "t7_g.r_ratio" numeric 
@attribute "t9_g.r_ratio" numeric 
@attribute "t11point5_g.r_ratio" numeric 
@attribute "ndt80_delete_early_g.r_ratio" numeric 
@attribute "ndt80_delete_mid_g.r_ratio" numeric 
@attribute "failed_pcr.1" numeric 
@attribute "failed_pcr.2" numeric 
@attribute "failed_pcr.3" numeric 
@attribute "failed_pcr.5" numeric 
@attribute "overlaps_another_orf" numeric 
@attribute class hierarchical 01,02,10,11,12,14,16,18,20,30,32,34,38,40,41,42,43,99,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/20,01/25,02/01,02/04,02/07,02/08,02/10,02/11,02/13,02/16,02/19,02/25,02/45,10/01,10/03,11/02,11/04,11/06,12/01,12/04,12/07,12/10,14/01,14/04,14/07,14/10,14/13,16/01,16/02,16/03,16/06,16/07,16/09,16/11,16/13,16/17,16/19,16/21,18/01,18/02,20/01,20/03,20/09,30/01,30/05,32/01,32/05,32/07,32/10,34/01,34/07,34/11,38/07,40/01,40/10,40/20,41/01,42/01,42/02,42/03,42/04,42/05,42/07,42/08,42/09,42/10,42/16,42/19,42/22,42/25,42/27,42/29,43/01,01/01/03,01/01/05,01/01/06,01/01/09,01/01/11,01/01/13,01/02/02,01/02/03,01/02/07,01/03/01,01/03/04,01/03/07,01/03/10,01/03/13,01/03/16,01/04/04,01/05/02,01/05/03,01/05/05,01/05/06,01/05/09,01/05/11,01/05/13,01/05/25,01/06/02,01/06/05,01/06/06,01/06/10,01/07/01,01/07/03,01/07/04,01/07/07,01/20/01,01/20/05,01/20/15,01/20/17,01/20/19,01/20/27,01/20/31,01/20/33,01/20/37,01/25/01,02/01/01,02/01/03,02/07/01,02/11/05,02/13/01,02/13/03,02/13/05,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/45/11,02/45/15,10/01/02,10/01/03,10/01/05,10/01/09,10/01/11,10/03/01,10/03/02,10/03/03,10/03/04,10/03/05,11/02/01,11/02/02,11/02/03,11/04/01,11/04/02,11/04/03,11/06/01,11/06/02,11/06/03,12/01/01,12/04/01,12/04/02,12/04/03,14/07/01,14/07/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/13/01,14/13/04,16/03/01,16/03/03,16/13/01,16/13/03,16/17/01,16/17/07,16/17/09,16/19/01,16/19/03,16/19/05,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18/01/01,18/01/07,18/02/01,18/02/03,18/02/05,18/02/09,20/01/01,20/01/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03/01,20/03/02,20/03/22,20/03/25,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/13,20/09/14,20/09/16,20/09/18,30/01/05,30/01/09,30/05/01,30/05/02,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05/01,32/05/05,32/07/01,32/07/03,32/07/05,32/07/07,32/10/03,34/01/01,34/01/03,34/07/01,34/07/02,34/11/03,34/11/09,34/11/11,34/11/12,40/01/03,40/01/05,40/10/02,41/01/01,42/04/03,42/04/05,42/10/03,42/10/05,42/10/07,42/27/03,43/01/03,01/01/03/01,01/01/03/02,01/01/03/03,01/01/03/05,01/01/05/01,01/01/05/03,01/01/06/01,01/01/06/02,01/01/06/04,01/01/06/05,01/01/06/06,01/01/09/01,01/01/09/02,01/01/09/03,01/01/09/04,01/01/09/05,01/01/09/06,01/01/09/07,01/01/11/01,01/01/11/02,01/01/11/03,01/01/11/04,01/02/02/09,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07/01,01/02/07/03,01/03/01/01,01/03/01/03,01/03/04/01,01/03/04/03,01/03/16/01,01/03/16/03,01/05/02/04,01/05/02/07,01/05/03/01,01/05/03/02,01/05/03/03,01/05/05/04,01/05/05/07,01/05/06/07,01/05/09/04,01/05/09/07,01/05/11/04,01/05/11/07,01/05/13/01,01/05/13/03,01/06/02/01,01/06/02/02,01/06/06/09,01/06/06/11,01/20/01/01,01/20/01/07,01/20/05/09,01/20/15/03,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19/01,01/20/19/05,01/20/37/01,10/01/03/03,10/01/03/05,10/01/05/01,10/01/05/03,10/01/09/03,10/01/09/05,10/03/01/01,10/03/01/02,10/03/01/03,10/03/02/01,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05/01,10/03/05/03,11/02/03/01,11/02/03/04,11/04/03/01,11/04/03/03,11/04/03/05,11/04/03/11,14/07/02/01,14/07/02/02,14/07/11/01,14/13/01/01,14/13/04/02,18/02/01/01,18/02/01/02,20/01/01/01,20/01/01/07,20/01/03/01,20/01/03/03,20/03/01/01,20/03/01/05,20/03/02/02,20/03/02/03,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/14/02,20/09/16/09,20/09/18/09,30/01/05/01,30/01/05/05,30/01/05/07,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05/01/10,30/05/02/24,32/05/01/01,32/05/01/03,32/05/01/07,32/05/05/01,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,34/01/01/01,34/01/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/11/03/07,34/11/03/11,34/11/03/13,40/01/03/01,40/01/05/01,40/10/02/01,40/10/02/02,40/10/02/03,43/01/03/05,43/01/03/06,43/01/03/09,01/01/03/01/01,01/01/03/01/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03/01,01/01/03/03/02,01/01/03/05/01,01/01/03/05/02,01/01/05/01/01,01/01/05/01/02,01/01/06/01/01,01/01/06/01/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04/01,01/01/06/04/02,01/01/06/05/01,01/01/06/06/01,01/01/06/06/02,01/01/09/01/01,01/01/09/01/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03/01,01/01/09/04/01,01/01/09/04/02,01/01/09/05/01,01/01/09/06/01,01/01/09/06/02,01/01/09/07/01,01/01/11/02/01,01/01/11/02/02,01/01/11/03/01,01/01/11/03/02,01/01/11/04/01,01/01/11/04/02,01/02/02/09/01,01/02/02/09/05,01/05/03/01/04,01/05/03/02/04,01/05/03/03/04,01/05/11/07/01,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04/01,11/02/03/04/03,11/04/03/01/10,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,20/01/01/01/01,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/03/02/02/01,20/03/02/02/02,20/03/02/03/01,20/09/16/09/03,20/09/18/09/01,30/01/05/01/03,30/01/05/05/01,32/05/01/03/03,40/10/02/02/01,40/10/02/03/02,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06/01/03,20/01/01/01/01/01

@data
-0.741703,-0.889131,-0.586978,-0.77455,-0.090479,-0.815909,-1.077415,-1.060719,-0.593622,-0.123365,-0.671424,0.777405,-0.72676,0.761127,-0.118285,-0.666378,0.163812,-0.737524,0.469764,-0.199236,-0.65799,-0.278528,-0.642146,-0.203531,-0.156361,-0.565068,-1.726374,-0.284519,-1.36692,-0.061333,-0.287366,-0.262061,0.086523,-0.23616,-0.075188,-0.646199,-0.162015,-0.085307,0.772209,-0.102863,0.120063,-0.686487,0.045356,-0.130973,-0.381004,0.329597,-0.538373,0.880244,-0.135824,0.214919,-0.45076,-1.595785,-1.565758,-0.630424,0.116505,-1.022893,0.213417,0.452926,-1.048591,1.388926,0.05459,-0.270926,-0.295171,-0.656078,-0.655157,0.948282,-0.016854,-1.824601,1.135868,0.197319,0.192129,-0.216783,-0.711406,-0.768252,-1.059297,0.864491,0.097251,-0.086902,0,-0.043328,-0.316781,12@42@12/01@42/01
0.409568,-0.66888,0.861962,0.017865,-0.090479,0.359454,-0.840635,1.110771,-0.334756,-0.123365,0.089596,0.718531,0.513447,0.529105,-0.118285,0.223588,0.92876,-0.109865,0.917432,-0.199236,-0.125753,-0.373756,0.032554,-0.267175,-0.156361,0.612501,-1.377894,1.0728,-1.380812,-0.061333,0.292569,-0.42995,0.508754,-0.463754,-0.075188,-0.813056,-0.128386,0.506643,0.647714,1.590493,0.03733,1.574191,0.170848,-0.130973,1.59513,0.590452,-0.470891,0.3932,-0.135824,0.612208,0.338011,0.437772,-0.019914,0.49006,0.235978,-0.685687,0.421787,0.445454,-0.649223,-0.408617,-0.554843,0.319583,-0.408237,-0.461886,-0.468725,-0.227547,1.62645,-1.614386,-0.481762,-0.63699,0.295781,-0.453023,-0.549953,-0.563115,-1.530819,-0.285677,0.097251,-0.086902,0,-0.043328,-0.316781,01@02@01/05@02/16
1.469127,-0.480601,2.231824,-0.384909,-0.090479,0.273071,2.237504,7.990143,7.630356,-0.123365,0.322625,1.359599,9.5242,1.410786,-0.118285,1.147617,1.15027,5.525578,1.847203,-0.199236,-0.055081,-0.315561,0.219662,-0.200091,-0.156361,1.019502,-1.482438,1.752764,-1.695706,-0.061333,0.541667,-0.368899,2.402187,-0.200937,-0.075188,-0.511907,-0.034704,-0.555064,0.297868,0.253845,-0.654083,3.443789,-0.240487,-0.130973,0.905533,0.079176,-0.677812,-0.425599,-0.135824,0.762005,0.645825,0.723184,0.571392,0.560722,0.454145,0.462251,0.486453,0.22877,-0.75894,-0.95882,-1.305407,-0.880517,-0.452975,-0.433046,-0.83841,-0.656386,1.832275,-1.772048,-0.996123,-1.446017,-0.966897,-0.521609,-0.597439,-0.953853,0.483866,-0.707026,0.097251,-0.086902,0,-0.043328,-0.316781,01@02@42@01/01@01/02@02/10@42/01@01/01/03@01/01/03/02@01/01/03/02/01@01/01/03/02/02
-0.868156,-0.857159,-0.78556,-0.634454,-0.090479,-0.792209,-0.658822,-0.88056,-0.698164,-0.123365,-0.656275,0.921318,-0.675085,0.830733,-0.118285,-0.551995,0.335113,-0.587353,0.561593,-0.199236,-0.755759,-1.400107,-0.691823,-1.049817,5.403125,-0.797358,-1.87351,-0.724016,-1.54752,-0.061333,-0.720825,-0.755553,-0.597217,-0.596517,-0.075188,-0.669502,-0.01789,-0.498424,0.12137,-0.982152,-0.21087,-0.879964,0.02444,-0.130973,-0.828419,-0.353843,-0.881377,-0.411482,-0.135824,0.052095,-3.105649,-0.980367,0.132136,-0.014662,-0.823692,-0.728734,0.364305,0.049445,-0.469288,-0.455732,-0.557409,-0.079111,-0.433453,-0.62147,-0.569356,-0.426899,-0.28492,-0.668418,-0.153763,-0.207195,-0.194213,-0.300611,-0.227048,-0.33844,-0.619924,-0.428025,0.097251,-0.086902,0,-0.043328,-0.316781,11@11/02@11/02/01@11/02/02@11/02/03@11/02/03/01
0.99632,-0.707957,1.555936,-0.205412,-0.090479,2.263922,-0.265598,-0.033984,-0.409428,-0.123365,1.33227,1.202603,0.124869,0.552307,-0.118285,1.856506,0.93762,0.310073,1.016914,-0.199236,1.010492,-0.60301,-0.405707,-0.533789,-0.156361,1.043849,-1.354662,0.160851,-1.362289,-0.061333,2.066681,-0.534245,0.499702,-0.444788,-0.075188,1.15263,0.330413,1.128299,0.545282,2.552718,0.001873,-0.199698,-0.09408,-0.130973,1.778137,-0.040817,-0.555896,-0.06561,-0.135824,0.735953,0.636205,0.491287,0.681206,0.419399,0.012616,0.641617,0.335565,0.527645,-0.72383,2.02138,1.582662,1.690408,2.608762,0.490807,0.661514,1.802482,2.320656,-1.614386,1.754592,1.474064,1.445384,2.016065,0.580214,0.648173,-0.159119,1.707188,0.097251,-0.086902,0,-0.043328,-0.316781,12@12/04@12/04/02
1.924911,-0.192853,3.745659,0.460041,-0.090479,1.957685,0.005008,2.295144,0.163064,-0.123365,2.653362,1.333433,0.80222,1.271574,-0.118285,3.357114,0.911039,1.285282,0.810298,-0.199236,1.636836,-0.569503,-0.167883,-0.337698,-0.156361,1.697616,-1.288838,-0.026432,-1.177057,-0.061333,3.099466,-0.028034,0.057657,-0.398727,-0.075188,2.441627,0.263155,3.462035,0.365631,0.838024,0.220525,1.194249,0.094158,-0.130973,0.201791,-0.124291,0.513381,0.209676,-0.135824,0.918316,0.453441,0.705346,0.579839,0.419399,0.028199,0.447902,0.35712,0.624779,-1.360186,-0.137109,1.608322,1.122997,1.727821,1.605007,2.767339,-0.343449,-0.253964,-2.612908,-0.258127,1.436141,0.974235,1.673136,1.890828,2.894917,-0.566342,-0.382474,0.097251,-0.086902,0,-0.043328,3.154787,01@14@16@20@32@01/04@14/01@14/04@16/01@16/19@20/09@32/01@16/19/03@20/09/01@20/09/05@32/01/07
-0.681604,-0.64046,-0.589106,-0.516249,-0.090479,-0.016326,0.419373,0.176618,0.78036,-0.123365,-0.307845,1.169895,-0.245471,1.047286,-0.118285,-0.033147,-0.045884,0.099205,0.19045,-0.199236,-0.367796,-0.805811,-0.293372,-0.683437,-0.156361,-0.509464,-1.242374,-0.48518,-1.149272,-0.061333,-0.367614,-0.536788,-0.238101,-0.428531,-0.075188,-0.598995,-0.846609,0.639728,-0.242659,-0.864591,-1.132754,-0.764043,-0.895834,-0.130973,-0.536011,-0.411231,-0.58274,-0.686767,-0.135824,0.638259,0.665063,0.25939,0.562945,0.39921,0.345062,0.440727,0.486453,0.512701,0.03102,-0.28564,-0.345711,-0.302059,-0.35211,-0.211936,-0.41894,-0.290714,-0.196662,-0.983741,-0.325217,-0.384169,-0.354404,-0.392058,-0.236546,-0.494735,-1.316491,-0.336922,0.097251,-0.086902,0,-0.043328,-0.316781,10@42@43@10/03@42/10@43/01@10/03/02@43/01/03@43/01/03/09
-0.354009,0.052265,-0.353644,0.004731,-0.090479,-0.287947,-0.789896,-0.332996,-0.757902,-0.123365,-0.28735,-0.184197,-0.472944,-0.36031,-0.118285,0.127491,0.887411,-0.395369,0.772035,-0.199236,-0.306644,-0.079253,-0.648031,-0.229333,-0.156361,-0.30218,1.146649,-0.431997,1.888526,-0.061333,-0.535568,-0.063647,-0.601376,-0.176552,-0.075188,-0.37134,0.039761,-0.54536,-0.39552,0.128635,0.3919,-0.458356,0.010497,-0.130973,0.237296,-0.119074,-0.28373,0.061445,-0.135824,0.735953,0.453441,-0.248999,0.419342,-0.963541,-2.82356,-1.847974,0.464898,0.572476,0.430388,-0.157073,0.230363,1.376072,0.819224,-0.177328,0.802396,0.470764,0.146159,-0.142881,-0.183581,0.323729,1.068465,1.200656,1.083566,1.810619,0.441,0.357734,0.097251,-0.086902,0,-0.043328,-0.316781,10@32@10/01@32/01@10/01/05@10/01/05/01
-0.79555,-0.370475,-0.782369,-0.323618,-0.090479,-0.806554,-0.675734,-0.619081,-0.693186,-0.123365,-0.784152,-1.289711,-0.686737,-0.847555,-0.118285,-0.664944,-0.166976,-0.694811,-0.291654,-0.199236,-0.68289,-0.294399,-0.532581,-0.303297,-0.156361,-0.474258,0.589081,-0.311926,2.37939,-0.061333,-0.695766,-0.223904,-0.559789,-0.295768,-0.075188,-0.202691,1.665973,0.539518,0.479095,-0.641146,0.232344,-0.632032,0.129017,-0.130973,-0.769245,-0.160811,-0.837383,-0.340896,-0.135824,-0.762021,0.338011,-0.882256,0.030769,-0.367968,-0.070495,-0.025622,0.299639,0.071861,0.891197,-0.648982,-0.739597,-0.447677,-0.657959,-0.445543,-0.743076,-0.191617,-0.210823,1.328625,-0.601034,-0.573785,-0.410942,-0.628298,-0.397998,-0.699873,-1.016431,-0.234432,0.097251,-0.086902,0,-0.043328,-0.316781,20@20/01@20/01/17
-0.556194,-1.201746,-0.332368,-0.892755,-0.090479,0.365379,-0.599627,0.521921,-0.220257,8.100964,-0.365323,1.418472,-0.381245,1.240637,-0.118285,-0.293826,0.140184,0.131577,0.370282,-0.199236,-0.547954,-0.767014,-0.187615,-0.423703,-0.156361,-0.609815,-1.50567,-0.128558,-1.417858,-0.061333,-0.4234,-0.557138,0.303999,-0.260545,-0.075188,0.429185,0.575426,1.073441,0.613045,-0.290074,-0.405884,-0.218262,-0.108023,-0.130973,-0.34752,-0.134725,-0.133479,0.435551,-0.135824,0.553591,0.107151,0.491287,0.33487,0.298266,0.480118,0.749236,0.270898,0.579948,-0.899377,-0.234533,-0.275145,-0.635475,-0.660399,-0.811816,-0.886077,-0.241455,-0.287554,-1.719494,-0.265581,-0.219836,-0.693631,-0.681643,-0.939339,-0.97339,-0.66279,-0.297065,0.097251,-0.086902,0,-0.043328,-0.316781,01@11@16@20@01/04@11/04@16/19@20/01@20/03@20/09@11/04/01@16/19/03@20/01/01@20/01/10@20/01/13@20/03/22@20/09/07@20/01/01/01@20/09/07/06
