@relation 'instrument'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute class hierarchical aerophone/wood/clarinet,aerophone/wood/flute,membranophone/bimembranophone/bassdrum,aerophone/wood/oboe,aerophone/brass/trombone,idiophone/metal/crotale,membranophone/unimembranophone/tambourine,idiophone/fibrousmaterial/marimba,aerophone/brass/tuba,aerophone/wood/saxophone,aerophone/wood/bassoon,chordophone/pizzicato/guitar,aerophone/brass/horn,idiophone/fibrousmaterial/xylophone,eletrophone/electroacoustic/electricguitar,eletrophone/electronic/keyboard,idiophone/metal/gong,chordophone/pizzicato/mandolin,chordophone/pizzicato/banjo,chordophone/pizzicato/doublebass,idiophone/metal/cymbal,aerophone/brass/trumpet,eletrophone/electronic/synthesizer,membranophone/unimembranophone/timbale,chordophone/arco/violin,chordophone/arco/violadarco,chordophone/arco/cello,membranophone/bimembranophone/snare,eletrophone/electroacoustic/bass,membranophone/bimembranophone/toms,idiophone/metal/bells

@data
-517.304652,-36.988369,-37.19795,33.781951,16.971196,18.934503,-30.172417,-4.646184,28.622689,-5.119971,-12.617194,24.012243,1.710644,-12.636654,2.209792,-10.988549,38.3576,-27.625749,11.574572,8.862511,13.453244,7.408414,7.608673,2.746275,5.930775,-3.230861,-13.306246,20.23293,-8.171426,1.555775,aerophone/wood/clarinet
-575.031777,-10.797991,-52.993984,2.029256,7.357598,50.701204,22.829815,-11.645888,-44.334844,23.135417,22.080612,-17.858334,-20.546859,5.434167,-9.924063,19.139743,33.995132,-32.795159,-0.639177,19.5355,13.7507,18.898307,-7.263361,8.616396,-3.516185,13.256706,8.16152,-17.270561,2.820382,0.107735,aerophone/wood/clarinet
-358.891176,4.889186,-38.847819,-8.029446,-40.994993,-19.276401,-27.270633,7.641633,19.194229,21.60233,-3.519213,-23.858277,-9.238633,10.045339,3.154794,-5.346238,23.240573,10.289583,-16.473526,-6.733759,9.606731,-8.443138,-4.91266,8.405834,-3.52012,12.228741,10.87529,-15.76453,3.806484,-3.164547,aerophone/wood/clarinet
-579.901541,-32.419937,-66.669336,-0.071422,5.212727,45.820049,10.079688,-11.086254,-19.991938,35.7408,21.199561,-22.514438,-12.370908,6.608449,1.379295,28.165751,7.773646,-34.482122,25.902864,14.951043,6.138026,-2.194189,-13.643205,19.245514,-1.207703,22.425035,-28.763212,9.354104,3.056354,7.856952,aerophone/wood/clarinet
-381.27287,40.645956,-45.198618,26.041872,-4.823613,14.029999,7.35742,-0.716642,-2.853773,-15.868602,-22.419601,-25.35338,-21.123256,-2.741042,-1.659321,-6.767241,-20.196788,-17.131803,-14.655412,-6.755504,2.290454,26.482838,30.821246,3.925666,-0.585921,-0.009981,4.508829,13.008012,7.243075,-2.485803,aerophone/wood/clarinet
-505.590201,7.218693,-39.234718,-17.508843,-7.882427,-0.040431,14.670314,16.61917,-2.777773,-15.839729,-31.20797,1.722353,23.635315,18.840993,27.880068,14.210074,-15.263674,-17.883044,18.05416,19.504015,-4.480852,1.760919,-3.461778,2.578302,-5.780542,-2.932767,25.604172,12.74825,-7.695809,4.320766,aerophone/wood/flute
-682.961723,-0.342731,-31.949278,4.999958,32.988807,-5.021215,-16.995194,-0.567908,13.331655,-3.257368,3.846725,27.609541,12.643689,7.733644,3.05586,12.430841,0.756622,-14.707798,12.256924,11.195134,-6.741895,-3.323853,11.451181,20.998,-5.623953,-2.007762,16.948816,4.214667,-5.839271,3.540299,aerophone/wood/flute
-587.953117,-3.813383,-45.020912,-11.332794,31.759855,31.491789,-18.642607,-28.684379,5.786579,28.111444,-5.47052,-23.666216,20.333045,22.795134,21.537653,-0.201312,-20.523363,23.644875,7.360063,-5.123948,-9.204561,6.501196,18.44165,0.284567,-4.65713,-0.227304,21.332693,4.850089,-0.437606,6.434571,aerophone/wood/flute
-696.892504,58.809366,-26.69467,16.489401,4.125973,-15.38951,-32.615111,-26.24506,-11.316042,-1.646599,2.945047,17.149358,43.232531,44.320208,17.211659,-6.81908,-0.673795,17.605204,-1.286845,-25.846475,-16.828571,11.404021,6.784792,-2.246923,10.865642,24.608352,5.127152,-1.291584,10.157387,2.846481,aerophone/wood/flute
-576.747125,53.551131,-34.655746,-1.508121,7.495636,-7.98605,-13.284679,-21.793774,-13.351583,-15.538322,-22.561108,-20.848469,-8.818708,14.260051,46.424013,52.745553,25.227649,-11.564005,-12.82613,16.79772,18.038476,0.215218,-14.264443,4.301017,7.051437,-13.364379,-17.324,13.449572,22.428453,2.675055,aerophone/wood/flute
