@RELATION 'dataset_discretizado'

@ATTRIBUTE cln3-1 numeric
@ATTRIBUTE cln3-2 numeric
@ATTRIBUTE clb2-2 numeric
@ATTRIBUTE clb2-1 numeric
@ATTRIBUTE alpha0 numeric
@ATTRIBUTE alpha7 numeric
@ATTRIBUTE alpha14 numeric
@ATTRIBUTE alpha21 numeric
@ATTRIBUTE alpha28 numeric
@ATTRIBUTE alpha35 numeric
@ATTRIBUTE alpha42 numeric
@ATTRIBUTE alpha49 numeric
@ATTRIBUTE alpha56 numeric
@ATTRIBUTE alpha63 numeric
@ATTRIBUTE alpha70 numeric
@ATTRIBUTE alpha77 numeric
@ATTRIBUTE alpha84 numeric
@ATTRIBUTE alpha91 numeric
@ATTRIBUTE alpha98 numeric
@ATTRIBUTE alpha105 numeric
@ATTRIBUTE alpha112 numeric
@ATTRIBUTE alpha119 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_80 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_100 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_120 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_140 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_160 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_180 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_200 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_220 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_240 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE cdc28_0 numeric
@ATTRIBUTE cdc28_10 numeric
@ATTRIBUTE cdc28_20 numeric
@ATTRIBUTE cdc28_30 numeric
@ATTRIBUTE cdc28_40 numeric
@ATTRIBUTE cdc28_50 numeric
@ATTRIBUTE cdc28_60 numeric
@ATTRIBUTE cdc28_70 numeric
@ATTRIBUTE cdc28_80 numeric
@ATTRIBUTE cdc28_90 numeric
@ATTRIBUTE cdc28_100 numeric
@ATTRIBUTE cdc28_110 numeric
@ATTRIBUTE cdc28_120 numeric
@ATTRIBUTE cdc28_130 numeric
@ATTRIBUTE cdc28_140 numeric
@ATTRIBUTE cdc28_150 numeric
@ATTRIBUTE cdc28_160 numeric
@ATTRIBUTE elu0 numeric
@ATTRIBUTE elu30 numeric
@ATTRIBUTE elu60 numeric
@ATTRIBUTE elu90 numeric
@ATTRIBUTE elu120 numeric
@ATTRIBUTE elu150 numeric
@ATTRIBUTE elu180 numeric
@ATTRIBUTE elu210 numeric
@ATTRIBUTE elu240 numeric
@ATTRIBUTE elu270 numeric
@ATTRIBUTE elu300 numeric
@ATTRIBUTE elu330 numeric
@ATTRIBUTE elu360 numeric
@ATTRIBUTE elu390 numeric
@ATTRIBUTE class hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
9,3,13,5,7,15,10,13,10,3,8,17,2,4,14,18,1,4,17,20,2,16,11,9,10,2,15,6,11,1,19,3,14,1,19,4,17,10,16,2,15,13,17,6,13,12,19,11,2,2,14,2,9,16,16,13,11,9,19,5,12,13,5,13,17,14,18,11,8,6,2,6,6,4,11,12,8,14/04
6,5,12,11,9,16,14,5,1,4,9,19,7,18,1,19,13,11,1,20,19,16,7,9,8,4,18,3,14,3,19,3,16,2,19,5,17,11,14,2,13,19,18,4,3,3,19,11,6,5,10,1,16,18,15,6,4,9,17,14,14,12,10,18,20,8,1,3,6,19,5,8,9,19,10,1,11,42/16
1,19,2,7,11,5,2,3,4,3,19,20,17,20,2,16,4,3,4,20,12,16,3,1,2,9,20,4,7,1,19,3,18,6,20,4,18,10,18,6,20,13,19,5,4,4,9,5,7,6,20,4,20,15,2,16,4,8,7,11,17,5,12,1,19,11,12,13,15,18,8,12,19,7,12,3,15,01/01/06
17,6,10,14,10,5,8,4,7,8,14,17,13,12,2,19,3,18,1,20,14,12,5,4,5,6,14,8,15,10,15,4,11,5,19,11,18,6,19,3,19,3,20,5,3,4,19,8,18,14,14,1,12,10,3,14,5,12,3,9,4,3,12,9,14,3,8,19,5,18,17,1,7,18,11,3,17,42/04
20,20,9,5,2,1,4,14,20,19,18,12,2,2,6,17,14,20,19,16,15,3,9,4,9,11,18,11,9,2,12,4,11,11,19,10,14,7,19,4,16,7,12,4,17,2,3,9,19,15,14,4,17,8,2,15,12,15,13,10,17,5,2,2,1,1,3,14,15,20,20,20,20,9,19,13,8,01/05
20,6,6,16,5,14,9,20,16,4,17,7,12,12,4,4,4,9,19,11,5,4,4,8,6,20,18,8,2,20,17,20,8,19,20,20,4,6,9,13,3,2,5,1,18,1,3,11,18,16,19,20,20,14,7,7,5,11,16,2,7,1,1,15,5,9,7,12,19,18,7,14,12,6,8,2,5,10/03/01
2,6,18,13,16,1,1,2,16,15,14,20,19,13,15,6,13,18,3,15,20,18,12,20,19,9,2,19,7,20,2,19,1,8,1,8,1,20,3,17,4,19,1,19,13,17,1,17,18,5,17,10,20,18,4,11,3,4,6,12,12,2,12,2,4,14,20,20,20,16,14,5,16,6,1,4,1,10/03/01
2,6,15,4,6,5,11,9,13,14,4,18,7,4,9,19,2,7,14,18,10,15,10,10,10,10,10,10,11,10,11,17,11,11,11,2,11,10,10,10,10,10,10,11,11,11,16,4,6,2,10,1,18,5,3,19,14,15,11,15,19,13,6,19,11,16,16,16,4,9,5,5,1,11,6,5,7,20/09/18
5,3,15,19,8,2,4,5,6,1,11,6,14,18,6,14,5,19,17,19,12,20,2,2,2,5,7,18,2,17,8,18,17,16,17,14,13,14,19,18,14,13,4,11,10,9,15,4,17,10,20,1,18,12,2,11,1,19,5,19,20,18,20,4,4,15,20,18,11,19,5,15,10,1,2,16,16,01/04
20,20,19,20,20,17,19,1,1,1,10,9,20,20,19,4,1,1,2,3,14,20,18,19,12,7,11,12,6,16,20,19,20,3,13,2,4,2,15,4,15,5,10,3,1,2,11,8,3,2,15,1,18,16,11,20,16,12,2,5,15,12,6,3,13,4,19,12,14,2,1,11,15,4,19,19,17,43/01/03/05
1,7,8,16,2,9,9,10,8,7,11,18,14,12,9,10,9,3,16,5,20,16,16,4,3,3,2,12,1,13,1,10,1,12,5,14,6,20,18,20,5,14,2,20,20,20,10,6,10,2,1,1,5,4,4,20,17,19,6,20,20,14,20,7,10,20,13,6,2,1,2,13,18,12,19,15,19,01
8,2,9,5,3,6,10,3,19,1,6,17,17,10,18,20,2,19,6,20,10,10,11,9,10,9,9,10,9,9,10,9,10,10,9,10,10,10,11,11,10,11,10,12,13,12,19,2,4,8,19,3,5,14,7,19,9,17,10,2,12,2,17,16,18,20,6,5,1,5,10,7,6,6,17,12,11,14/04
3,13,17,3,4,3,16,7,7,8,5,1,18,7,20,19,4,13,17,18,2,10,11,9,9,2,14,1,14,5,18,8,17,2,7,8,13,15,16,3,19,10,14,7,17,17,17,17,11,4,9,2,10,15,12,8,9,11,13,5,4,11,7,4,16,10,18,16,8,10,13,11,10,6,13,7,10,14/13/01/01
11,10,20,11,1,14,17,13,13,1,10,1,5,14,7,19,20,5,4,18,12,18,9,7,7,1,7,1,12,3,19,2,11,1,8,2,16,9,17,13,20,13,19,13,12,11,19,1,2,1,2,2,14,6,12,19,16,17,19,9,8,18,18,19,16,20,8,1,1,2,3,13,5,1,20,19,16,01/05
16,12,10,5,10,10,10,11,11,11,11,10,12,11,13,10,10,9,12,11,10,11,8,13,15,5,18,2,17,5,12,10,10,10,13,13,10,1,17,11,10,16,18,4,13,11,11,11,9,9,10,11,11,11,11,11,10,9,11,7,12,11,11,12,10,10,9,9,9,9,10,11,10,11,12,11,11,14/04
16,3,3,17,5,9,6,20,4,2,7,2,5,15,16,7,5,18,10,20,10,14,15,17,13,5,14,4,20,1,17,2,19,1,18,15,18,11,17,5,19,8,17,1,7,4,8,2,14,8,12,1,12,9,2,20,17,17,7,14,10,2,11,8,18,1,13,3,7,11,17,17,13,5,15,10,17,32/01
20,20,5,18,7,10,7,14,7,9,8,8,2,14,6,17,2,18,10,12,10,20,16,14,13,6,15,13,7,13,13,13,20,5,11,2,4,9,15,7,12,15,7,14,2,4,16,4,5,3,3,1,20,18,17,9,15,15,19,3,14,7,10,14,7,2,3,3,2,7,4,19,19,1,20,20,14,10/01/09/05
4,1,17,20,1,15,1,17,18,18,19,17,7,17,1,9,18,20,19,19,12,13,9,5,19,10,19,1,20,1,6,1,7,15,16,11,20,9,15,6,13,8,15,2,4,15,13,14,19,7,9,3,15,7,3,18,6,5,2,10,15,5,15,7,4,14,2,3,7,6,20,15,14,5,17,16,17,01/05
20,9,20,19,15,6,15,18,12,14,5,9,15,16,2,12,1,18,5,13,5,17,14,16,10,18,12,18,16,18,5,19,9,13,3,18,3,15,1,8,3,10,12,11,15,12,17,20,18,12,13,2,7,9,6,6,2,2,4,8,11,11,9,15,8,19,12,12,11,8,5,8,10,1,7,10,13,16/03/01
18,15,13,14,13,7,10,7,10,6,8,3,3,16,11,20,5,12,8,15,12,16,6,4,6,11,18,16,10,16,15,1,7,1,16,4,6,8,19,5,19,12,16,12,7,8,9,9,4,3,12,2,16,16,12,15,14,10,13,6,17,13,10,13,16,12,10,3,7,9,3,15,12,2,18,14,13,16/01
12,1,10,15,2,1,6,15,5,10,9,14,7,18,17,16,14,13,2,20,3,17,11,13,12,10,14,4,16,8,14,12,13,12,19,14,13,3,15,2,10,7,18,3,8,6,15,17,19,9,16,17,7,20,16,3,11,8,17,1,3,3,1,6,20,2,2,18,8,12,17,1,7,8,3,7,6,11/02/03/04
19,2,6,14,5,19,4,19,6,2,2,13,13,8,15,5,3,4,8,20,4,16,2,3,2,14,18,10,16,10,12,7,5,3,18,13,16,10,16,10,16,11,15,9,14,6,10,10,6,3,15,4,12,11,6,15,12,9,10,6,18,16,8,9,9,12,19,2,3,4,16,17,20,3,16,8,10,16/01
17,8,13,17,9,19,15,14,3,2,7,7,1,18,19,15,8,4,8,20,2,13,5,9,7,8,16,1,19,1,16,1,20,1,17,7,20,6,13,1,18,18,20,3,3,4,18,19,17,10,12,1,9,19,16,4,10,9,4,2,5,1,9,14,7,14,19,9,8,15,5,5,8,8,12,3,7,10/01/05/01
2,3,13,18,6,11,13,3,10,11,9,13,4,17,6,8,2,15,5,18,15,18,16,18,13,7,2,7,9,10,4,8,2,8,6,13,2,15,5,17,4,10,12,18,18,19,15,6,10,6,8,6,6,8,9,13,6,5,9,12,17,18,18,11,4,3,17,16,5,8,9,18,5,4,12,17,10,01/07/01
6,3,6,11,6,13,12,8,15,2,16,8,4,19,2,5,8,17,9,14,13,16,17,20,20,1,20,1,20,1,20,1,20,12,20,20,20,10,20,1,20,19,20,12,19,17,8,1,2,5,20,20,20,17,19,1,11,19,20,15,12,9,11,8,1,3,12,8,9,6,18,14,19,6,18,16,14,14/10
2,16,15,19,14,9,6,5,4,2,16,15,12,20,6,18,7,9,4,14,5,18,6,4,6,8,6,3,6,3,13,6,7,5,4,6,13,15,7,16,4,20,12,18,18,19,14,4,8,2,16,3,13,10,6,19,14,14,11,3,15,8,16,13,18,1,12,3,2,2,19,18,17,6,17,20,19,14/13/01/01
1,3,19,7,17,17,11,16,16,1,3,2,3,6,13,12,12,17,16,19,5,5,15,13,10,11,11,12,15,13,12,11,14,5,8,7,9,12,10,11,6,8,12,9,7,9,15,8,4,5,15,3,17,17,15,13,5,6,15,6,5,11,11,16,19,20,20,18,7,12,1,3,6,1,1,1,17,01/03/04
18,5,14,19,19,15,14,15,6,19,8,11,11,2,3,1,2,4,13,19,12,4,10,12,11,18,13,19,16,19,11,18,10,10,6,14,6,13,5,16,1,3,2,10,12,10,18,11,3,15,20,19,20,20,19,1,9,1,13,18,1,7,1,16,9,19,3,10,16,1,12,11,10,7,11,13,9,11/02/03/04
3,17,7,19,7,3,15,17,18,16,18,7,18,15,4,13,1,9,7,8,4,10,10,3,1,5,1,13,1,6,2,6,1,9,2,1,4,20,13,18,20,17,20,20,20,20,18,5,18,3,17,2,20,8,19,1,17,13,16,2,11,6,5,16,9,10,9,4,1,1,1,19,18,1,15,20,20,01/04
16,18,17,6,10,2,5,16,11,19,4,4,2,7,15,14,5,16,20,16,18,5,12,6,11,11,16,13,13,17,15,10,12,13,12,5,1,9,11,5,16,17,8,10,4,6,2,2,5,4,20,5,16,15,5,16,16,15,12,11,16,10,18,4,9,4,17,15,13,14,6,17,18,8,14,7,11,12/10
18,9,3,5,3,2,18,17,16,12,2,20,1,9,4,9,6,10,5,8,12,7,9,18,16,12,9,13,10,16,6,18,10,16,8,1,5,9,13,1,14,16,13,12,5,10,7,11,19,15,8,6,1,4,4,9,17,15,16,12,8,11,13,20,9,8,13,6,2,7,16,3,1,1,15,9,15,01/05
