@RELATION 'dataset_discretizado'

@ATTRIBUTE feature1 numeric
@ATTRIBUTE feature2 numeric
@ATTRIBUTE feature4 numeric
@ATTRIBUTE feature3 numeric
@ATTRIBUTE feature5 numeric
@ATTRIBUTE feature6 numeric
@ATTRIBUTE feature7 numeric
@ATTRIBUTE feature8 numeric
@ATTRIBUTE feature9 numeric
@ATTRIBUTE feature10 numeric
@ATTRIBUTE feature11 numeric
@ATTRIBUTE feature12 numeric
@ATTRIBUTE feature13 numeric
@ATTRIBUTE class hierarchical blues,blues/gospel,classical,classical/20th_century_classical,classical/chamber_music,classical/choral_music,classical/composed_music,classical/contemporary_classical,classical/opera,classical/symphony,country,country/americana,country/bluegrass,country/country_-_western,country/country_-_western/western_swing,country/rockabilly,easy_listening,easy_listening/easy_listening:_vocal,easy_listening/nu-jazz,easy_listening/lounge,electronic,electronic/ambient_electronic,electronic/breakcore_-_hard,electronic/chip_music,electronic/chip_music/chiptune,electronic/dance,electronic/downtempo,electronic/drum_-_bass,electronic/dubstep,electronic/dubstep/skweee,electronic/glitch,electronic/house,electronic/house/chill-out,electronic/idm,electronic/jungle,electronic/minimal_electronic,electronic/techno,electronic/techno/bigbeat,electronic/trip-hop,folk,folk/british_folk,folk/freak-folk,folk/free-folk,folk/psych-folk,folk/singer-songwriter,hip-hop,hip-hop/abstract_hip_hop,hip-hop/alternative_hip-hop,hip-hop/breakbeat,hip-hop/hip-hop_beats,hip-hop/nerdcore,hip-hop/rap,hip-hop/wonky,hip-hop/hiphop,jazz,jazz/big_band_swing,jazz/free-jazz,jazz/jazz:_out,jazz/jazz:_vocal,jazz/modern_jazz,old-time_historic,pop,pop/experimental_pop,pop/synth_pop,rock,rock/garage,rock/garage/surf,rock/goth,rock/indie-rock,rock/industrial,rock/krautrock,rock/lo-fi,rock/loud-rock,rock/loud-rock/noise-rock,rock/loud-rock/sludge,rock/metal,rock/metal/black-metal,rock/metal/death-metal,rock/metal/grindcore,rock/new_wave,rock/post-rock,rock/post-rock/space-rock,rock/progressive,rock/psych-rock,rock/punk,rock/punk/electro-punk,rock/punk/hardcore,rock/punk/thrash,rock/punk/no_wave,rock/punk/post-punk,rock/punk/power-pop,rock/rock_opera,rock/shoegaze,soul-rnb,soul-rnb/disco,soul-rnb/funk,soul-rnb/funk/deep_funk

@DATA
7,2,17,6,10,5,6,5,9,7,10,18,7,pop
4,3,12,10,19,18,15,10,2,11,18,13,14,rock
8,2,9,19,20,18,10,5,9,19,11,15,19,rock
1,12,19,16,15,8,20,9,18,9,10,8,19,rock
4,2,17,13,6,15,18,8,10,17,13,12,17,rock/metal
6,2,18,12,7,15,18,11,12,18,13,8,14,rock/metal
7,2,19,11,8,13,18,6,6,12,8,5,13,rock/metal
6,2,19,11,11,12,17,6,9,16,12,8,16,rock/metal
7,4,18,15,6,15,19,10,9,12,10,14,17,rock/metal
3,1,1,1,11,9,2,1,1,1,9,20,20,jazz
1,10,7,12,18,18,16,17,13,6,5,4,15,jazz
15,7,14,15,18,10,11,9,18,7,9,5,10,jazz
17,7,13,15,17,17,10,3,10,6,12,5,6,jazz
9,15,8,14,12,11,13,9,16,16,10,13,8,rock/loud-rock/noise-rock
5,4,19,20,8,20,19,9,15,18,3,12,8,rock/loud-rock/noise-rock
18,12,3,9,2,16,12,14,15,4,6,17,16,rock
5,9,9,15,17,4,8,5,14,11,6,7,19,rock
10,10,9,8,8,9,16,9,17,11,9,16,6,rock
6,4,6,13,13,17,3,13,5,15,13,19,3,rock/loud-rock/noise-rock
2,8,3,10,15,6,13,10,12,10,13,12,11,rock/loud-rock/noise-rock
3,5,10,11,16,4,16,11,18,11,19,8,7,rock/loud-rock/noise-rock
2,7,10,20,18,8,14,9,3,12,11,9,9,rock/loud-rock/noise-rock
7,19,9,20,2,18,17,8,17,4,7,17,11,rock/psych-rock
5,7,17,20,19,17,20,17,20,19,18,19,18,blues
4,9,7,8,8,6,16,1,15,6,10,17,19,blues
1,17,16,12,18,17,19,6,20,14,16,13,17,blues
18,4,20,20,15,12,20,20,20,12,1,2,14,blues
1,20,20,18,19,18,20,4,20,15,10,16,19,blues
20,1,9,3,4,12,11,3,9,4,7,12,7,blues
20,9,19,19,19,7,20,14,14,13,4,16,19,blues
14,7,20,5,19,6,15,17,19,20,12,6,8,rock
3,4,17,8,14,14,8,13,17,12,19,12,6,rock
10,12,12,14,11,19,15,6,11,8,6,10,14,jazz
11,13,12,12,11,18,18,11,16,8,11,16,19,jazz
10,10,16,11,15,19,14,8,17,11,12,17,15,jazz
1,4,18,11,16,9,13,10,17,7,8,7,6,jazz
2,5,15,12,15,6,14,15,18,11,8,12,10,jazz
2,9,16,12,13,5,10,14,17,6,5,5,6,jazz
2,7,19,12,16,6,11,10,15,5,11,10,7,jazz
10,7,17,19,8,16,5,16,8,6,5,5,7,rock
16,12,14,20,19,12,14,15,8,16,18,12,10,rock
8,16,15,17,10,18,14,14,6,5,4,13,13,rock
11,10,17,15,10,18,7,14,5,12,5,11,11,rock
12,11,9,12,8,9,11,14,16,17,15,12,15,rock
1,1,20,20,1,15,20,1,20,3,13,18,1,electronic
4,1,18,18,3,9,18,9,20,12,13,18,6,electronic
2,5,20,20,10,9,20,9,20,4,20,20,12,electronic
1,12,19,6,19,10,11,19,18,12,19,17,20,rock
1,2,20,20,2,18,20,4,20,5,18,20,8,electronic
14,7,20,15,3,7,6,1,19,1,20,20,18,electronic
4,2,20,20,2,15,20,4,20,2,15,20,1,electronic
19,2,19,19,17,17,20,8,15,5,10,8,4,electronic
